NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",240,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",397,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",346,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",421,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",218,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",189,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",368,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",271,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",475,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",263,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",276,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",211,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",278,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",80,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",95,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",265,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",356,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",341,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",493,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",235,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",209,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",314,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",303,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",497,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",283,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",305,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",254,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",277,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",95,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",161,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",335,17,031,160100,2020
