NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",241,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",204,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",442,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",692,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",544,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",444,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",353,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",218,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",883,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",367,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",231,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",137,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",43,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",362,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",315,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",278,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",188,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",303,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",609,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",379,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",477,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",268,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",260,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",531,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",464,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",283,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",145,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",58,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",311,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",266,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",162,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",177,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",367,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",459,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",292,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",358,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",213,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",259,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",570,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",433,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",323,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",227,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",73,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",316,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",382,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",248,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",175,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",345,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",465,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",222,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",428,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",297,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",301,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",736,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",340,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",290,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",210,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",133,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",386,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",574,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,144,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,44,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,605,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,576,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,216,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,294,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,126,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,431,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,340,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,312,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,76,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,236,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,117,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,467,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,623,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,134,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,370,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,506,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,809,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,255,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,396,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,104,17,031,160601,2023
Census Tract 1606.02; Cook County; Illinois,488,17,031,160602,2023
Census Tract 1607; Cook County; Illinois,531,17,031,160700,2023
