NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",135,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",52,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",112,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",178,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",285,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",182,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",96,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",110,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",227,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",172,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",52,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",38,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",86,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",90,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",100,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",148,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",44,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",127,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",151,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",275,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",199,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",93,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",75,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",333,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",149,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",31,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",34,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",62,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",87,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",117,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",101,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",16,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",155,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",166,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",248,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",186,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",80,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",120,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",325,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",84,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",38,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",48,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",40,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",117,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",101,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",159,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",29,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",158,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",155,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",258,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",170,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",72,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",102,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",334,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",151,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",96,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",45,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",56,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",145,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",181,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,72,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,18,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,232,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,296,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,305,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,102,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,44,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,197,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,267,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,210,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,48,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,55,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,63,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,188,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,211,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,67,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,97,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,217,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,327,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,317,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,180,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,98,17,031,160601,2023
