NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",105,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",46,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",113,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",85,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",78,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",138,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",70,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",35,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",190,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",157,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",67,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",40,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",25,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",54,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",126,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",109,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",57,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",60,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",76,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",109,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",115,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",65,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",36,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",97,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",130,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",71,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",41,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",20,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",104,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",113,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",96,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",123,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",175,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",184,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",171,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",134,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",51,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",60,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",141,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",276,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",139,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",89,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",24,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",115,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",134,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",83,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",104,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",206,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",214,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",179,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",119,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",73,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",44,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",244,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",314,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",125,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",90,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",64,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",123,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",133,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,54,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,94,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,220,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,203,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,183,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,85,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,62,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,63,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,208,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,271,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,84,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,71,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,64,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,123,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,129,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,37,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,62,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,262,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,205,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,166,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,128,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,138,17,031,160601,2023
Census Tract 1606.02; Cook County; Illinois,77,17,031,160602,2023
Census Tract 1607; Cook County; Illinois,153,17,031,160700,2023
Census Tract 1608; Cook County; Illinois,289,17,031,160800,2023
Census Tract 1609; Cook County; Illinois,105,17,031,160900,2023
Census Tract 1610; Cook County; Illinois,79,17,031,161000,2023
Census Tract 1611; Cook County; Illinois,59,17,031,161100,2023
Census Tract 1612; Cook County; Illinois,80,17,031,161200,2023
Census Tract 1613; Cook County; Illinois,161,17,031,161300,2023
