NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",1346,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",1902,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",2233,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",2207,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",942,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",907,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",1685,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",1392,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",2696,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",1630,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",1285,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",1271,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",1293,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",910,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",1341,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",1181,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",1862,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",2088,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",2241,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",1104,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",1003,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",1643,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",1394,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",2497,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",1558,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",1450,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",1300,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",1267,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",942,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",1372,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",1318,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",1937,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",2189,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",2585,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",842,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",1041,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",1779,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",1442,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",2384,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",1594,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",1399,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",1335,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",1347,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",987,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",1406,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",1724,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",2101,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",2053,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",2637,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",965,17,031,160501,2021
