NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",811,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",1066,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",777,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",963,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",375,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",944,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",867,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",529,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",969,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",766,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",856,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",837,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",1138,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",498,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",854,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",874,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",1094,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",884,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",1198,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",479,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",1024,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",860,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",1047,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",814,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,1159,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,450,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,906,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,897,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,1061,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,744,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,1253,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,492,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,784,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,1057,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,996,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,699,17,031,110502,2023
