NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",1178,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",1538,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",921,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",1182,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",671,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",1420,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",1266,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",632,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",1473,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",939,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",1238,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",1258,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",1293,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",747,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",1422,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",1078,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",1254,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",832,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",1299,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",707,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",1542,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",1085,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",1490,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",651,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,1143,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,1012,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,1248,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,1084,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,1555,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,752,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,1069,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,1187,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,1408,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,896,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,1734,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,633,17,031,110502,2023
