NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",1097,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",1337,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",727,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",1321,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",631,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",1637,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",1359,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",708,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",1332,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",725,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",1583,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",1109,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",1432,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",586,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",1560,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",1150,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",1286,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",894,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",1416,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",636,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",1567,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",1245,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",1236,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",957,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,1491,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,658,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,1527,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,1296,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,1215,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,1052,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,1483,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,671,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,1510,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,1440,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,1199,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,1027,17,031,110502,2023
