NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",4467,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",5390,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",3612,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",5367,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",3433,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",5720,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",5514,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",3095,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",5323,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",3574,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",5331,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",4666,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",5686,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",3107,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",5305,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",4480,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",5076,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",3540,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",5777,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",2857,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",5537,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",4551,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",5087,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",3363,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,5776,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,2821,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,5304,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,4501,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,5097,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,3533,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,5763,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,2834,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,5064,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,4462,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,5077,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,3443,17,031,110502,2023
