NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",756,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",782,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",1691,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",1669,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",1007,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",1005,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",632,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",416,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",4236,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",1325,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",802,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",1596,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",1087,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",1249,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",1404,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",1466,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",1148,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",679,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",1162,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",1544,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",654,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",686,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",1947,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",2570,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",1505,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",660,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",2363,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",2842,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",930,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",980,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",593,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",3788,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",1382,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",1105,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",1380,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",768,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",1611,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",1692,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",1911,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",2540,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",1550,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",704,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",2385,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",2932,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",934,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",664,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",710,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",610,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",1031,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",1188,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",1215,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",1466,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",1509,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",1214,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",675,17,031,062500,2019
