NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",223,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",260,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",645,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",614,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",320,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",366,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",236,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",148,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",1099,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",495,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",184,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",438,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",454,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",554,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",567,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",302,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",503,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",266,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",497,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",544,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",137,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",282,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",834,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",709,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",430,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",266,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",680,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",1064,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",403,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",473,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",198,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",1377,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",532,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",377,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",538,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",199,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",419,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",621,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",731,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",851,17,031,061902,2019
