NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",159,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",175,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",111,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",235,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",435,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",243,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",39,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",228,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",1162,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",238,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",84,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",315,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",304,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",314,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",363,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",154,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",309,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",134,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",162,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",315,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",142,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",52,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",289,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",139,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",186,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",59,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",290,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",344,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",171,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",147,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",40,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",468,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",251,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",111,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",293,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",69,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",288,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",215,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",294,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",163,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",209,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",22,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",306,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",459,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",271,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",190,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",56,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",66,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",252,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",252,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",332,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",446,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",132,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",416,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",187,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",128,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",456,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",384,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",267,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",81,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",154,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",1070,17,031,060900,2019
"Census Tract 612, Cook County, Illinois",252,17,031,061200,2019
"Census Tract 615, Cook County, Illinois",177,17,031,061500,2019
"Census Tract 629, Cook County, Illinois",201,17,031,062900,2019
"Census Tract 630, Cook County, Illinois",229,17,031,063000,2019
"Census Tract 628, Cook County, Illinois",208,17,031,062800,2019
"Census Tract 634, Cook County, Illinois",178,17,031,063400,2019
"Census Tract 8319, Cook County, Illinois",362,17,031,831900,2020
"Census Tract 8320, Cook County, Illinois",101,17,031,832000,2020
"Census Tract 8321, Cook County, Illinois",301,17,031,832100,2020
"Census Tract 601, Cook County, Illinois",238,17,031,060100,2020
