NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 612, Cook County, Illinois",112292,17,031,061200,2018
"Census Tract 615, Cook County, Illinois",125000,17,031,061500,2018
"Census Tract 629, Cook County, Illinois",128750,17,031,062900,2018
"Census Tract 630, Cook County, Illinois",99213,17,031,063000,2018
"Census Tract 602, Cook County, Illinois",72679,17,031,060200,2018
"Census Tract 610, Cook County, Illinois",116389,17,031,061000,2018
"Census Tract 624, Cook County, Illinois",127059,17,031,062400,2018
"Census Tract 605, Cook County, Illinois",34130,17,031,060500,2018
"Census Tract 609, Cook County, Illinois",59942,17,031,060900,2018
"Census Tract 8319, Cook County, Illinois",109643,17,031,831900,2018
"Census Tract 8320, Cook County, Illinois",115192,17,031,832000,2018
"Census Tract 8321, Cook County, Illinois",72778,17,031,832100,2018
"Census Tract 601, Cook County, Illinois",92593,17,031,060100,2018
"Census Tract 603, Cook County, Illinois",117415,17,031,060300,2018
"Census Tract 604, Cook County, Illinois",122708,17,031,060400,2018
"Census Tract 620, Cook County, Illinois",80595,17,031,062000,2018
"Census Tract 622, Cook County, Illinois",119392,17,031,062200,2018
"Census Tract 625, Cook County, Illinois",131818,17,031,062500,2018
"Census Tract 631, Cook County, Illinois",95365,17,031,063100,2018
"Census Tract 621, Cook County, Illinois",94500,17,031,062100,2018
"Census Tract 618, Cook County, Illinois",73523,17,031,061800,2018
"Census Tract 623, Cook County, Illinois",154000,17,031,062300,2018
"Census Tract 619.01, Cook County, Illinois",60909,17,031,061901,2018
"Census Tract 619.02, Cook County, Illinois",64508,17,031,061902,2018
"Census Tract 633.01, Cook County, Illinois",58371,17,031,063301,2018
"Census Tract 633.03, Cook County, Illinois",81705,17,031,063303,2018
"Census Tract 633.02, Cook County, Illinois",78720,17,031,063302,2018
"Census Tract 608, Cook County, Illinois",87723,17,031,060800,2018
"Census Tract 626, Cook County, Illinois",158125,17,031,062600,2018
"Census Tract 627, Cook County, Illinois",168352,17,031,062700,2018
"Census Tract 611, Cook County, Illinois",107500,17,031,061100,2018
"Census Tract 632, Cook County, Illinois",65426,17,031,063200,2018
"Census Tract 628, Cook County, Illinois",143667,17,031,062800,2018
"Census Tract 634, Cook County, Illinois",97305,17,031,063400,2018
"Census Tract 8319, Cook County, Illinois",131500,17,031,831900,2019
"Census Tract 8320, Cook County, Illinois",121500,17,031,832000,2019
"Census Tract 8321, Cook County, Illinois",76193,17,031,832100,2019
"Census Tract 621, Cook County, Illinois",91438,17,031,062100,2019
"Census Tract 619.01, Cook County, Illinois",65882,17,031,061901,2019
"Census Tract 619.02, Cook County, Illinois",76792,17,031,061902,2019
"Census Tract 633.01, Cook County, Illinois",60361,17,031,063301,2019
"Census Tract 633.03, Cook County, Illinois",92250,17,031,063303,2019
"Census Tract 633.02, Cook County, Illinois",81638,17,031,063302,2019
"Census Tract 608, Cook County, Illinois",87552,17,031,060800,2019
"Census Tract 626, Cook County, Illinois",164286,17,031,062600,2019
"Census Tract 618, Cook County, Illinois",72308,17,031,061800,2019
"Census Tract 623, Cook County, Illinois",140556,17,031,062300,2019
"Census Tract 611, Cook County, Illinois",117500,17,031,061100,2019
"Census Tract 627, Cook County, Illinois",172850,17,031,062700,2019
"Census Tract 601, Cook County, Illinois",94800,17,031,060100,2019
"Census Tract 603, Cook County, Illinois",112574,17,031,060300,2019
"Census Tract 604, Cook County, Illinois",132143,17,031,060400,2019
"Census Tract 620, Cook County, Illinois",77222,17,031,062000,2019
"Census Tract 622, Cook County, Illinois",128102,17,031,062200,2019
"Census Tract 625, Cook County, Illinois",150240,17,031,062500,2019
"Census Tract 631, Cook County, Illinois",90978,17,031,063100,2019
"Census Tract 632, Cook County, Illinois",72457,17,031,063200,2019
"Census Tract 602, Cook County, Illinois",83598,17,031,060200,2019
"Census Tract 610, Cook County, Illinois",110739,17,031,061000,2019
"Census Tract 624, Cook County, Illinois",133897,17,031,062400,2019
"Census Tract 605, Cook County, Illinois",38571,17,031,060500,2019
"Census Tract 609, Cook County, Illinois",63610,17,031,060900,2019
"Census Tract 612, Cook County, Illinois",138000,17,031,061200,2019
"Census Tract 615, Cook County, Illinois",123409,17,031,061500,2019
"Census Tract 629, Cook County, Illinois",131900,17,031,062900,2019
"Census Tract 630, Cook County, Illinois",95897,17,031,063000,2019
"Census Tract 628, Cook County, Illinois",156875,17,031,062800,2019
"Census Tract 634, Cook County, Illinois",105735,17,031,063400,2019
"Census Tract 8319, Cook County, Illinois",113889,17,031,831900,2020
"Census Tract 8320, Cook County, Illinois",114479,17,031,832000,2020
"Census Tract 8321, Cook County, Illinois",80785,17,031,832100,2020
"Census Tract 601, Cook County, Illinois",101375,17,031,060100,2020
"Census Tract 602, Cook County, Illinois",83897,17,031,060200,2020
"Census Tract 603, Cook County, Illinois",115221,17,031,060300,2020
"Census Tract 604, Cook County, Illinois",144453,17,031,060400,2020
"Census Tract 605, Cook County, Illinois",48393,17,031,060500,2020
"Census Tract 608, Cook County, Illinois",72061,17,031,060800,2020
"Census Tract 609, Cook County, Illinois",67257,17,031,060900,2020
"Census Tract 610, Cook County, Illinois",109973,17,031,061000,2020
"Census Tract 611, Cook County, Illinois",103889,17,031,061100,2020
"Census Tract 612, Cook County, Illinois",101683,17,031,061200,2020
"Census Tract 615, Cook County, Illinois",124231,17,031,061500,2020
"Census Tract 618, Cook County, Illinois",64423,17,031,061800,2020
"Census Tract 619.01, Cook County, Illinois",54516,17,031,061901,2020
"Census Tract 619.02, Cook County, Illinois",75670,17,031,061902,2020
"Census Tract 620, Cook County, Illinois",85144,17,031,062000,2020
"Census Tract 621, Cook County, Illinois",94607,17,031,062100,2020
"Census Tract 622, Cook County, Illinois",153646,17,031,062200,2020
"Census Tract 623, Cook County, Illinois",166094,17,031,062300,2020
"Census Tract 624, Cook County, Illinois",124355,17,031,062400,2020
"Census Tract 625, Cook County, Illinois",160208,17,031,062500,2020
"Census Tract 626, Cook County, Illinois",182563,17,031,062600,2020
"Census Tract 627, Cook County, Illinois",147000,17,031,062700,2020
"Census Tract 628, Cook County, Illinois",180431,17,031,062800,2020
"Census Tract 629, Cook County, Illinois",113243,17,031,062900,2020
"Census Tract 630, Cook County, Illinois",99041,17,031,063000,2020
"Census Tract 631, Cook County, Illinois",94929,17,031,063100,2020
"Census Tract 632, Cook County, Illinois",67406,17,031,063200,2020
"Census Tract 633.01, Cook County, Illinois",61139,17,031,063301,2020
"Census Tract 633.02, Cook County, Illinois",85152,17,031,063302,2020
"Census Tract 633.03, Cook County, Illinois",92200,17,031,063303,2020
"Census Tract 634, Cook County, Illinois",104878,17,031,063400,2020
"Census Tract 601, Cook County, Illinois",105875,17,031,060100,2021
"Census Tract 602, Cook County, Illinois",83854,17,031,060200,2021
"Census Tract 603, Cook County, Illinois",123750,17,031,060300,2021
"Census Tract 604, Cook County, Illinois",146111,17,031,060400,2021
"Census Tract 605, Cook County, Illinois",52652,17,031,060500,2021
"Census Tract 608, Cook County, Illinois",77436,17,031,060800,2021
"Census Tract 609, Cook County, Illinois",80670,17,031,060900,2021
"Census Tract 610, Cook County, Illinois",111728,17,031,061000,2021
"Census Tract 611, Cook County, Illinois",92750,17,031,061100,2021
"Census Tract 612, Cook County, Illinois",120865,17,031,061200,2021
"Census Tract 615, Cook County, Illinois",126750,17,031,061500,2021
"Census Tract 618, Cook County, Illinois",65238,17,031,061800,2021
"Census Tract 619.01, Cook County, Illinois",54192,17,031,061901,2021
"Census Tract 619.02, Cook County, Illinois",79254,17,031,061902,2021
"Census Tract 620, Cook County, Illinois",98828,17,031,062000,2021
"Census Tract 621, Cook County, Illinois",96510,17,031,062100,2021
"Census Tract 622, Cook County, Illinois",165083,17,031,062200,2021
"Census Tract 623, Cook County, Illinois",181250,17,031,062300,2021
"Census Tract 624, Cook County, Illinois",141328,17,031,062400,2021
"Census Tract 625, Cook County, Illinois",157143,17,031,062500,2021
"Census Tract 626, Cook County, Illinois",187857,17,031,062600,2021
"Census Tract 627, Cook County, Illinois",139477,17,031,062700,2021
"Census Tract 628, Cook County, Illinois",154911,17,031,062800,2021
"Census Tract 629, Cook County, Illinois",146341,17,031,062900,2021
"Census Tract 630, Cook County, Illinois",99792,17,031,063000,2021
"Census Tract 631, Cook County, Illinois",96188,17,031,063100,2021
"Census Tract 632, Cook County, Illinois",68710,17,031,063200,2021
"Census Tract 633.01, Cook County, Illinois",63889,17,031,063301,2021
"Census Tract 633.02, Cook County, Illinois",84319,17,031,063302,2021
"Census Tract 633.03, Cook County, Illinois",93625,17,031,063303,2021
"Census Tract 634, Cook County, Illinois",113512,17,031,063400,2021
"Census Tract 8319, Cook County, Illinois",135354,17,031,831900,2021
"Census Tract 8320, Cook County, Illinois",126875,17,031,832000,2021
"Census Tract 8321, Cook County, Illinois",84016,17,031,832100,2021
Census Tract 601; Cook County; Illinois,135272,17,031,060100,2022
Census Tract 602; Cook County; Illinois,89167,17,031,060200,2022
Census Tract 603; Cook County; Illinois,140125,17,031,060300,2022
Census Tract 604; Cook County; Illinois,162011,17,031,060400,2022
Census Tract 605; Cook County; Illinois,54250,17,031,060500,2022
Census Tract 608; Cook County; Illinois,81156,17,031,060800,2022
Census Tract 609; Cook County; Illinois,83601,17,031,060900,2022
Census Tract 610; Cook County; Illinois,127872,17,031,061000,2022
Census Tract 611; Cook County; Illinois,108158,17,031,061100,2022
Census Tract 612; Cook County; Illinois,109479,17,031,061200,2022
Census Tract 615; Cook County; Illinois,133000,17,031,061500,2022
Census Tract 618; Cook County; Illinois,69250,17,031,061800,2022
Census Tract 619.01; Cook County; Illinois,61563,17,031,061901,2022
Census Tract 619.02; Cook County; Illinois,86805,17,031,061902,2022
Census Tract 620; Cook County; Illinois,110250,17,031,062000,2022
