NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",128,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",225,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",52,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",158,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",113,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",179,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",30,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",218,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",12,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",50,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",44,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",95,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",83,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",252,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",450,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",88,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",270,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",233,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",189,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",267,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",175,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",1,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",72,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",303,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",177,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",11,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",45,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",173,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",64,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",131,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",665,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",56,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",282,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",166,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",31,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",149,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",162,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",237,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",217,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",297,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",141,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",0,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",15,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",167,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",27,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",165,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",21,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",128,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",217,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",10,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",329,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",306,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",43,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",106,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",32,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",246,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",200,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",153,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",155,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",175,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",78,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",168,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",86,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",143,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",26,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",77,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",195,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",10,17,031,070600,2021
