NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",883,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",1844,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",1585,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",1211,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",3593,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",625,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",1611,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",1211,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",1238,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",1723,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",2175,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",1648,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",1105,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",957,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",1394,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",1006,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",2473,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",1160,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",677,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",951,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",1207,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",1674,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",2197,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",987,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",1145,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",1198,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",1804,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",1759,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",1112,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",3639,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",1309,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",1051,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",2631,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",1875,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",1681,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",624,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",807,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",1154,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",675,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",960,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",1229,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",1583,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",1988,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",1975,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",1014,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",1924,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",1588,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",1230,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",1121,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",1160,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",1391,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",949,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",1001,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",825,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",2050,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",2690,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",3540,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",671,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",632,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",938,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",2163,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",1964,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",973,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",1948,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",1569,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",1249,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",1140,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",1159,17,031,070600,2021
"Census Tract 707, Cook County, Illinois",1432,17,031,070700,2021
"Census Tract 710, Cook County, Illinois",973,17,031,071000,2021
"Census Tract 711, Cook County, Illinois",1073,17,031,071100,2021
"Census Tract 712, Cook County, Illinois",917,17,031,071200,2021
"Census Tract 713, Cook County, Illinois",1912,17,031,071300,2021
"Census Tract 714, Cook County, Illinois",2787,17,031,071400,2021
"Census Tract 715, Cook County, Illinois",3460,17,031,071500,2021
"Census Tract 716, Cook County, Illinois",693,17,031,071600,2021
"Census Tract 717, Cook County, Illinois",623,17,031,071700,2021
"Census Tract 718, Cook County, Illinois",984,17,031,071800,2021
"Census Tract 8325, Cook County, Illinois",1253,17,031,832500,2021
"Census Tract 8326, Cook County, Illinois",1696,17,031,832600,2021
Census Tract 701.01; Cook County; Illinois,2455,17,031,070101,2022
Census Tract 701.02; Cook County; Illinois,1785,17,031,070102,2022
Census Tract 701.03; Cook County; Illinois,964,17,031,070103,2022
Census Tract 702; Cook County; Illinois,2037,17,031,070200,2022
Census Tract 703; Cook County; Illinois,1622,17,031,070300,2022
Census Tract 704; Cook County; Illinois,1191,17,031,070400,2022
Census Tract 705; Cook County; Illinois,1125,17,031,070500,2022
Census Tract 706; Cook County; Illinois,1166,17,031,070600,2022
Census Tract 707; Cook County; Illinois,1434,17,031,070700,2022
Census Tract 710; Cook County; Illinois,947,17,031,071000,2022
Census Tract 711; Cook County; Illinois,1057,17,031,071100,2022
Census Tract 712; Cook County; Illinois,1045,17,031,071200,2022
Census Tract 713; Cook County; Illinois,1970,17,031,071300,2022
Census Tract 714; Cook County; Illinois,2884,17,031,071400,2022
Census Tract 715; Cook County; Illinois,3350,17,031,071500,2022
Census Tract 716; Cook County; Illinois,660,17,031,071600,2022
Census Tract 717; Cook County; Illinois,571,17,031,071700,2022
Census Tract 718; Cook County; Illinois,1024,17,031,071800,2022
Census Tract 8325; Cook County; Illinois,1304,17,031,832500,2022
Census Tract 8326; Cook County; Illinois,1696,17,031,832600,2022
Census Tract 701.01; Cook County; Illinois,2423,17,031,070101,2023
Census Tract 701.02; Cook County; Illinois,1818,17,031,070102,2023
