NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",109191,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",92441,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",143221,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",132222,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",94598,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",162054,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",148616,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",113409,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",157125,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",112788,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",64968,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",70057,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",58914,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",138934,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",120192,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",119432,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",93529,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",155729,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",142583,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",141806,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",148802,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",152328,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",75804,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",147552,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",114902,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",170750,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",122621,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",71373,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",61118,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",99510,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",121298,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",160662,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",117150,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",91723,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",145855,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",187614,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",114286,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",152850,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",147031,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",131734,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",140592,17,031,832500,2020
