NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",515,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",739,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",720,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",740,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",1291,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",391,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",897,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",679,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",890,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",901,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",1005,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",494,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",119,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",502,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",868,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",525,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",1125,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",824,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",474,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",671,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",766,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",947,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",904,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",485,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",679,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",839,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",976,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",515,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",98,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",1269,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",834,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",554,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",1307,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",777,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",720,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",398,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",489,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",785,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",461,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",665,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",659,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",907,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",832,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",681,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",73,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",765,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",735,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",733,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",689,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",752,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",977,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",464,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",500,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",446,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",1158,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",1428,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",1191,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",463,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",354,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",708,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",939,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",646,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",75,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",707,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",760,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",754,17,031,070400,2021
