NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",463,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",1297,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",909,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",668,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",2566,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",268,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",774,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",899,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",369,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",954,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",1557,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",1365,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",1084,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",497,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",832,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",561,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",1683,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",493,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",265,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",449,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",621,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",747,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",1612,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",528,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",867,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",395,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",975,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",1417,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",1132,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",2570,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",808,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",564,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",1544,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",1268,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",980,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",261,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",431,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",514,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",291,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",402,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",696,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",676,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",1435,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",1433,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",1062,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",1318,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",861,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",810,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",573,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",434,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",700,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",519,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",563,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",441,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",1026,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",1419,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",2614,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",282,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",302,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",341,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",1474,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",1478,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",1030,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",1353,17,031,070200,2021
"Census Tract 703, Cook County, Illinois",837,17,031,070300,2021
"Census Tract 704, Cook County, Illinois",788,17,031,070400,2021
"Census Tract 705, Cook County, Illinois",631,17,031,070500,2021
"Census Tract 706, Cook County, Illinois",425,17,031,070600,2021
"Census Tract 707, Cook County, Illinois",760,17,031,070700,2021
"Census Tract 710, Cook County, Illinois",535,17,031,071000,2021
"Census Tract 711, Cook County, Illinois",581,17,031,071100,2021
"Census Tract 712, Cook County, Illinois",428,17,031,071200,2021
"Census Tract 713, Cook County, Illinois",1045,17,031,071300,2021
"Census Tract 714, Cook County, Illinois",1483,17,031,071400,2021
"Census Tract 715, Cook County, Illinois",2624,17,031,071500,2021
"Census Tract 716, Cook County, Illinois",245,17,031,071600,2021
"Census Tract 717, Cook County, Illinois",260,17,031,071700,2021
"Census Tract 718, Cook County, Illinois",402,17,031,071800,2021
"Census Tract 8325, Cook County, Illinois",697,17,031,832500,2021
"Census Tract 8326, Cook County, Illinois",701,17,031,832600,2021
Census Tract 701.01; Cook County; Illinois,1714,17,031,070101,2022
Census Tract 701.02; Cook County; Illinois,1192,17,031,070102,2022
Census Tract 701.03; Cook County; Illinois,1059,17,031,070103,2022
Census Tract 702; Cook County; Illinois,1385,17,031,070200,2022
Census Tract 703; Cook County; Illinois,931,17,031,070300,2022
Census Tract 704; Cook County; Illinois,715,17,031,070400,2022
Census Tract 705; Cook County; Illinois,523,17,031,070500,2022
Census Tract 706; Cook County; Illinois,450,17,031,070600,2022
Census Tract 707; Cook County; Illinois,740,17,031,070700,2022
Census Tract 710; Cook County; Illinois,513,17,031,071000,2022
Census Tract 711; Cook County; Illinois,599,17,031,071100,2022
Census Tract 712; Cook County; Illinois,541,17,031,071200,2022
Census Tract 713; Cook County; Illinois,1032,17,031,071300,2022
Census Tract 714; Cook County; Illinois,1582,17,031,071400,2022
Census Tract 715; Cook County; Illinois,2477,17,031,071500,2022
Census Tract 716; Cook County; Illinois,254,17,031,071600,2022
Census Tract 717; Cook County; Illinois,211,17,031,071700,2022
Census Tract 718; Cook County; Illinois,384,17,031,071800,2022
Census Tract 8325; Cook County; Illinois,725,17,031,832500,2022
Census Tract 8326; Cook County; Illinois,714,17,031,832600,2022
Census Tract 701.01; Cook County; Illinois,1630,17,031,070101,2023
Census Tract 701.02; Cook County; Illinois,1176,17,031,070102,2023
Census Tract 701.03; Cook County; Illinois,1084,17,031,070103,2023
Census Tract 702; Cook County; Illinois,1432,17,031,070200,2023
Census Tract 703; Cook County; Illinois,981,17,031,070300,2023
Census Tract 704; Cook County; Illinois,774,17,031,070400,2023
Census Tract 705; Cook County; Illinois,569,17,031,070500,2023
Census Tract 706; Cook County; Illinois,503,17,031,070600,2023
Census Tract 707; Cook County; Illinois,818,17,031,070700,2023
Census Tract 710; Cook County; Illinois,447,17,031,071000,2023
Census Tract 711; Cook County; Illinois,630,17,031,071100,2023
Census Tract 712; Cook County; Illinois,786,17,031,071200,2023
Census Tract 713; Cook County; Illinois,939,17,031,071300,2023
Census Tract 714; Cook County; Illinois,1469,17,031,071400,2023
Census Tract 715; Cook County; Illinois,2447,17,031,071500,2023
Census Tract 716; Cook County; Illinois,276,17,031,071600,2023
Census Tract 717; Cook County; Illinois,265,17,031,071700,2023
Census Tract 718; Cook County; Illinois,460,17,031,071800,2023
