NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",2024,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",4283,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",3575,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",3551,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",6065,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",1729,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",3780,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",3237,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",3257,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",3982,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",3878,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",2920,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",1621,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",4604,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",4272,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",3180,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",4745,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",3421,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",1832,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",2741,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",3390,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",3918,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",3885,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",4634,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",3151,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",3296,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",4308,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",2918,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",1636,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",6187,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",4191,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",3394,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",5096,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",4216,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",3634,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",1670,17,031,071700,2019
"Census Tract 712, Cook County, Illinois",1956,17,031,071200,2019
"Census Tract 705, Cook County, Illinois",3458,17,031,070500,2019
"Census Tract 716, Cook County, Illinois",1914,17,031,071600,2019
"Census Tract 718, Cook County, Illinois",2613,17,031,071800,2019
"Census Tract 8325, Cook County, Illinois",3192,17,031,832500,2020
"Census Tract 8326, Cook County, Illinois",4022,17,031,832600,2020
"Census Tract 701.01, Cook County, Illinois",3848,17,031,070101,2020
"Census Tract 701.02, Cook County, Illinois",3394,17,031,070102,2020
"Census Tract 701.03, Cook County, Illinois",1469,17,031,070103,2020
"Census Tract 702, Cook County, Illinois",4260,17,031,070200,2020
"Census Tract 703, Cook County, Illinois",3729,17,031,070300,2020
"Census Tract 704, Cook County, Illinois",3277,17,031,070400,2020
"Census Tract 705, Cook County, Illinois",3256,17,031,070500,2020
"Census Tract 706, Cook County, Illinois",3305,17,031,070600,2020
"Census Tract 707, Cook County, Illinois",3880,17,031,070700,2020
"Census Tract 710, Cook County, Illinois",4836,17,031,071000,2020
"Census Tract 711, Cook County, Illinois",3397,17,031,071100,2020
"Census Tract 712, Cook County, Illinois",1994,17,031,071200,2020
"Census Tract 713, Cook County, Illinois",4378,17,031,071300,2020
"Census Tract 714, Cook County, Illinois",4998,17,031,071400,2020
"Census Tract 715, Cook County, Illinois",6157,17,031,071500,2020
"Census Tract 716, Cook County, Illinois",1975,17,031,071600,2020
"Census Tract 717, Cook County, Illinois",1622,17,031,071700,2020
"Census Tract 718, Cook County, Illinois",2579,17,031,071800,2020
"Census Tract 701.01, Cook County, Illinois",4054,17,031,070101,2021
"Census Tract 701.02, Cook County, Illinois",3359,17,031,070102,2021
"Census Tract 701.03, Cook County, Illinois",1408,17,031,070103,2021
"Census Tract 702, Cook County, Illinois",4092,17,031,070200,2021
