NAME,B03002_003E,state,county,tract,YEAR
"Census Tract 712, Cook County, Illinois",1489,17,031,071200,2018
"Census Tract 702, Cook County, Illinois",3457,17,031,070200,2018
"Census Tract 703, Cook County, Illinois",3062,17,031,070300,2018
"Census Tract 8325, Cook County, Illinois",2987,17,031,832500,2018
"Census Tract 715, Cook County, Illinois",5117,17,031,071500,2018
"Census Tract 717, Cook County, Illinois",1242,17,031,071700,2018
"Census Tract 8326, Cook County, Illinois",3162,17,031,832600,2018
"Census Tract 704, Cook County, Illinois",2546,17,031,070400,2018
"Census Tract 706, Cook County, Illinois",2734,17,031,070600,2018
"Census Tract 713, Cook County, Illinois",3282,17,031,071300,2018
"Census Tract 701.01, Cook County, Illinois",3177,17,031,070101,2018
"Census Tract 701.02, Cook County, Illinois",2304,17,031,070102,2018
"Census Tract 701.03, Cook County, Illinois",1277,17,031,070103,2018
"Census Tract 710, Cook County, Illinois",3628,17,031,071000,2018
"Census Tract 707, Cook County, Illinois",2826,17,031,070700,2018
"Census Tract 711, Cook County, Illinois",2264,17,031,071100,2018
"Census Tract 714, Cook County, Illinois",3609,17,031,071400,2018
"Census Tract 705, Cook County, Illinois",2816,17,031,070500,2018
"Census Tract 716, Cook County, Illinois",1342,17,031,071600,2018
"Census Tract 718, Cook County, Illinois",1997,17,031,071800,2018
"Census Tract 8325, Cook County, Illinois",2777,17,031,832500,2019
"Census Tract 8326, Cook County, Illinois",3463,17,031,832600,2019
"Census Tract 701.01, Cook County, Illinois",3053,17,031,070101,2019
"Census Tract 710, Cook County, Illinois",3606,17,031,071000,2019
"Census Tract 704, Cook County, Illinois",2532,17,031,070400,2019
"Census Tract 706, Cook County, Illinois",2889,17,031,070600,2019
"Census Tract 713, Cook County, Illinois",3360,17,031,071300,2019
"Census Tract 701.02, Cook County, Illinois",2239,17,031,070102,2019
"Census Tract 701.03, Cook County, Illinois",1221,17,031,070103,2019
"Census Tract 715, Cook County, Illinois",5223,17,031,071500,2019
"Census Tract 707, Cook County, Illinois",2666,17,031,070700,2019
"Census Tract 711, Cook County, Illinois",2459,17,031,071100,2019
"Census Tract 714, Cook County, Illinois",3990,17,031,071400,2019
"Census Tract 702, Cook County, Illinois",3444,17,031,070200,2019
"Census Tract 703, Cook County, Illinois",3070,17,031,070300,2019
"Census Tract 717, Cook County, Illinois",1198,17,031,071700,2019
