NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",103664,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",60566,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",100708,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",122479,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",116897,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",128243,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",158375,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",87221,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",83806,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",98186,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",133079,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",67313,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",111970,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",121318,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",58542,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",77267,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",111372,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",36927,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",84223,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",99440,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",132794,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",95139,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",138173,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",130673,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",149135,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",194167,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",91961,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",86419,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",94288,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",136010,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",79960,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",119387,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",115642,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",86250,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",142550,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",77605,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",101758,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",107847,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",64640,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",125880,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",41250,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",86207,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",89968,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",117802,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",113219,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",90918,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",141439,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",43844,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",69379,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",81976,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",99759,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",193906,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",92731,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",69432,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",121839,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",107833,17,031,081403,2020
