NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",443,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",1205,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",275,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",248,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",318,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",260,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",209,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",39,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",315,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",275,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",124,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",284,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",593,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",871,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",248,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",661,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",548,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",939,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",652,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",284,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",188,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",244,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",225,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",237,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",312,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",196,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",41,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",346,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",299,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",135,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",277,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",677,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",1007,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",282,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",245,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",711,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",326,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",403,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",1188,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",397,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",680,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",715,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",183,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",538,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",38,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",251,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",226,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",741,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",1464,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",693,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",308,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",128,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",541,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",271,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",649,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",1141,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",343,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",262,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",363,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",476,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",179,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",255,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",233,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",608,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",71,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",337,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",331,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",815,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",1538,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",716,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",232,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",114,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",589,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",204,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",673,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",1109,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",248,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",181,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",354,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",490,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",220,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",207,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",243,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",397,17,031,842300,2021
Census Tract 801; Cook County; Illinois,504,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,64,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,381,17,031,080202,2022
Census Tract 803; Cook County; Illinois,518,17,031,080300,2022
Census Tract 804; Cook County; Illinois,1045,17,031,080400,2022
Census Tract 810; Cook County; Illinois,1295,17,031,081000,2022
Census Tract 811; Cook County; Illinois,829,17,031,081100,2022
Census Tract 812.01; Cook County; Illinois,155,17,031,081201,2022
Census Tract 812.02; Cook County; Illinois,123,17,031,081202,2022
Census Tract 813; Cook County; Illinois,561,17,031,081300,2022
Census Tract 814.01; Cook County; Illinois,198,17,031,081401,2022
