NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 815, Cook County, Illinois",4585,17,031,081500,2018
"Census Tract 810, Cook County, Illinois",7439,17,031,081000,2018
"Census Tract 817, Cook County, Illinois",3831,17,031,081700,2018
"Census Tract 803, Cook County, Illinois",4770,17,031,080300,2018
"Census Tract 816, Cook County, Illinois",4000,17,031,081600,2018
"Census Tract 818, Cook County, Illinois",9919,17,031,081800,2018
"Census Tract 819, Cook County, Illinois",923,17,031,081900,2018
"Census Tract 802.01, Cook County, Illinois",3141,17,031,080201,2018
"Census Tract 802.02, Cook County, Illinois",3302,17,031,080202,2018
"Census Tract 812.01, Cook County, Illinois",4500,17,031,081201,2018
"Census Tract 812.02, Cook County, Illinois",2951,17,031,081202,2018
"Census Tract 814.01, Cook County, Illinois",2342,17,031,081401,2018
"Census Tract 814.02, Cook County, Illinois",5325,17,031,081402,2018
"Census Tract 814.03, Cook County, Illinois",8046,17,031,081403,2018
"Census Tract 8383, Cook County, Illinois",1425,17,031,838300,2018
"Census Tract 811, Cook County, Illinois",4092,17,031,081100,2018
"Census Tract 801, Cook County, Illinois",6795,17,031,080100,2018
"Census Tract 804, Cook County, Illinois",4142,17,031,080400,2018
"Census Tract 813, Cook County, Illinois",5313,17,031,081300,2018
"Census Tract 8422, Cook County, Illinois",3154,17,031,842200,2018
"Census Tract 8423, Cook County, Illinois",3358,17,031,842300,2018
"Census Tract 8383, Cook County, Illinois",1710,17,031,838300,2019
"Census Tract 803, Cook County, Illinois",4911,17,031,080300,2019
"Census Tract 816, Cook County, Illinois",4040,17,031,081600,2019
"Census Tract 818, Cook County, Illinois",10298,17,031,081800,2019
"Census Tract 819, Cook County, Illinois",1026,17,031,081900,2019
"Census Tract 802.01, Cook County, Illinois",3160,17,031,080201,2019
"Census Tract 802.02, Cook County, Illinois",3339,17,031,080202,2019
"Census Tract 812.01, Cook County, Illinois",4711,17,031,081201,2019
"Census Tract 812.02, Cook County, Illinois",2928,17,031,081202,2019
"Census Tract 814.01, Cook County, Illinois",2224,17,031,081401,2019
"Census Tract 814.02, Cook County, Illinois",5651,17,031,081402,2019
"Census Tract 814.03, Cook County, Illinois",8450,17,031,081403,2019
"Census Tract 8422, Cook County, Illinois",3362,17,031,842200,2019
"Census Tract 8423, Cook County, Illinois",3199,17,031,842300,2019
"Census Tract 811, Cook County, Illinois",4200,17,031,081100,2019
"Census Tract 817, Cook County, Illinois",4118,17,031,081700,2019
"Census Tract 815, Cook County, Illinois",4521,17,031,081500,2019
"Census Tract 810, Cook County, Illinois",8204,17,031,081000,2019
"Census Tract 801, Cook County, Illinois",6741,17,031,080100,2019
"Census Tract 804, Cook County, Illinois",4331,17,031,080400,2019
"Census Tract 813, Cook County, Illinois",5393,17,031,081300,2019
"Census Tract 8383, Cook County, Illinois",1869,17,031,838300,2020
"Census Tract 801, Cook County, Illinois",6944,17,031,080100,2020
"Census Tract 802.01, Cook County, Illinois",3038,17,031,080201,2020
"Census Tract 802.02, Cook County, Illinois",3321,17,031,080202,2020
"Census Tract 803, Cook County, Illinois",4697,17,031,080300,2020
"Census Tract 804, Cook County, Illinois",4440,17,031,080400,2020
"Census Tract 810, Cook County, Illinois",8078,17,031,081000,2020
"Census Tract 811, Cook County, Illinois",4404,17,031,081100,2020
"Census Tract 812.01, Cook County, Illinois",4688,17,031,081201,2020
"Census Tract 812.02, Cook County, Illinois",3011,17,031,081202,2020
"Census Tract 813, Cook County, Illinois",5726,17,031,081300,2020
"Census Tract 814.01, Cook County, Illinois",2039,17,031,081401,2020
"Census Tract 814.02, Cook County, Illinois",5429,17,031,081402,2020
"Census Tract 814.03, Cook County, Illinois",9069,17,031,081403,2020
"Census Tract 815, Cook County, Illinois",4645,17,031,081500,2020
"Census Tract 816, Cook County, Illinois",3986,17,031,081600,2020
"Census Tract 817, Cook County, Illinois",4377,17,031,081700,2020
"Census Tract 818, Cook County, Illinois",10974,17,031,081800,2020
"Census Tract 819, Cook County, Illinois",1051,17,031,081900,2020
"Census Tract 8422, Cook County, Illinois",3619,17,031,842200,2020
"Census Tract 8423, Cook County, Illinois",3123,17,031,842300,2020
"Census Tract 801, Cook County, Illinois",6886,17,031,080100,2021
"Census Tract 802.01, Cook County, Illinois",3199,17,031,080201,2021
"Census Tract 802.02, Cook County, Illinois",3758,17,031,080202,2021
"Census Tract 803, Cook County, Illinois",5018,17,031,080300,2021
"Census Tract 804, Cook County, Illinois",4699,17,031,080400,2021
"Census Tract 810, Cook County, Illinois",8485,17,031,081000,2021
"Census Tract 811, Cook County, Illinois",4453,17,031,081100,2021
"Census Tract 812.01, Cook County, Illinois",4684,17,031,081201,2021
"Census Tract 812.02, Cook County, Illinois",3275,17,031,081202,2021
"Census Tract 813, Cook County, Illinois",5860,17,031,081300,2021
"Census Tract 814.01, Cook County, Illinois",2247,17,031,081401,2021
"Census Tract 814.02, Cook County, Illinois",5613,17,031,081402,2021
"Census Tract 814.03, Cook County, Illinois",8984,17,031,081403,2021
"Census Tract 815, Cook County, Illinois",4766,17,031,081500,2021
"Census Tract 816, Cook County, Illinois",3659,17,031,081600,2021
"Census Tract 817, Cook County, Illinois",4677,17,031,081700,2021
"Census Tract 818, Cook County, Illinois",11295,17,031,081800,2021
"Census Tract 819, Cook County, Illinois",1197,17,031,081900,2021
"Census Tract 8383, Cook County, Illinois",2080,17,031,838300,2021
"Census Tract 8422, Cook County, Illinois",3670,17,031,842200,2021
"Census Tract 8423, Cook County, Illinois",3678,17,031,842300,2021
Census Tract 801; Cook County; Illinois,6607,17,031,080100,2022
Census Tract 802.01; Cook County; Illinois,3236,17,031,080201,2022
Census Tract 802.02; Cook County; Illinois,3800,17,031,080202,2022
Census Tract 803; Cook County; Illinois,5836,17,031,080300,2022
Census Tract 804; Cook County; Illinois,4888,17,031,080400,2022
Census Tract 810; Cook County; Illinois,8150,17,031,081000,2022
