NAME_x,white,state_x,county_x,tract,YEAR,NAME_y,black,state_y,county_y,NAME,hispanic,state,county,race_total,white_pct,black_pct,hispanic_pct,majority_race
"Census Tract 1502, Cook County, Illinois",4527,17,31,150200,2018,"Census Tract 1502, Cook County, Illinois",53,17,31,"Census Tract 1502, Cook County, Illinois",2394,17,31,6974,0.6491253226268999,0.007599655864640092,0.34327502150846,white
"Census Tract 1502, Cook County, Illinois",4202,17,31,150200,2019,"Census Tract 1502, Cook County, Illinois",41,17,31,"Census Tract 1502, Cook County, Illinois",2734,17,31,6977,0.6022645836319335,0.0058764511967894515,0.39185896517127705,white
"Census Tract 1502, Cook County, Illinois",4364,17,31,150200,2020,"Census Tract 1502, Cook County, Illinois",79,17,31,"Census Tract 1502, Cook County, Illinois",2424,17,31,6867,0.635503130915975,0.011504295907965633,0.3529925731760594,white
"Census Tract 1502, Cook County, Illinois",4266,17,31,150200,2021,"Census Tract 1502, Cook County, Illinois",105,17,31,"Census Tract 1502, Cook County, Illinois",2175,17,31,6546,0.6516956920256646,0.016040329972502293,0.33226397800183316,white
Census Tract 1502; Cook County; Illinois,3904,17,31,150200,2022,Census Tract 1502; Cook County; Illinois,175,17,31,Census Tract 1502; Cook County; Illinois,2204,17,31,6283,0.6213592233009708,0.027852936495304792,0.35078784020372433,white
Census Tract 1502; Cook County; Illinois,4029,17,31,150200,2023,Census Tract 1502; Cook County; Illinois,213,17,31,Census Tract 1502; Cook County; Illinois,1947,17,31,6189,0.650993698497334,0.034415899175957346,0.31459040232670865,white
"Census Tract 1503, Cook County, Illinois",4502,17,31,150300,2018,"Census Tract 1503, Cook County, Illinois",201,17,31,"Census Tract 1503, Cook County, Illinois",2490,17,31,7193,0.6258862783261504,0.027943834283331016,0.34616988739051857,white
"Census Tract 1503, Cook County, Illinois",4325,17,31,150300,2019,"Census Tract 1503, Cook County, Illinois",163,17,31,"Census Tract 1503, Cook County, Illinois",2637,17,31,7125,0.6070175438596491,0.022877192982456142,0.3701052631578947,white
"Census Tract 1503, Cook County, Illinois",4597,17,31,150300,2020,"Census Tract 1503, Cook County, Illinois",131,17,31,"Census Tract 1503, Cook County, Illinois",2132,17,31,6860,0.6701166180758017,0.01909620991253644,0.3107871720116618,white
"Census Tract 1503, Cook County, Illinois",4741,17,31,150300,2021,"Census Tract 1503, Cook County, Illinois",89,17,31,"Census Tract 1503, Cook County, Illinois",1767,17,31,6597,0.718659996968319,0.013490980748825224,0.26784902228285584,white
Census Tract 1503; Cook County; Illinois,4718,17,31,150300,2022,Census Tract 1503; Cook County; Illinois,119,17,31,Census Tract 1503; Cook County; Illinois,1703,17,31,6540,0.7214067278287462,0.01819571865443425,0.2603975535168196,white
