NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",1595,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",1193,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",707,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",563,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",541,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",633,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",524,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",476,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",578,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",315,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",480,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",566,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",425,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",424,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",1445,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",1446,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",817,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",686,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",523,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",616,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",562,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",497,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",561,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",345,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",446,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",589,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",537,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",452,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",1898,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",1318,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",893,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",581,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",828,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",659,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",592,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",557,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",543,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",379,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",612,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",593,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",567,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",409,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",1897,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",1409,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",1026,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",535,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",820,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",713,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",540,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",615,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",548,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",389,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",522,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",752,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",449,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",419,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,1777,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,1448,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,1064,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,648,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,1002,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,622,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,506,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,727,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,584,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,326,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,551,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,716,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,625,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,420,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,1671,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,1494,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,1073,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,585,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,1187,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,563,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,623,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,814,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,612,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,335,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,576,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,736,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,561,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,346,17,031,831700,2023
