NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",53,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",201,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",89,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",53,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",113,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",70,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",85,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",64,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",24,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",45,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",59,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",25,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",24,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",9,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",41,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",163,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",91,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",42,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",127,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",71,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",78,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",70,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",66,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",57,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",90,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",42,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",21,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",22,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",79,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",131,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",62,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",159,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",7,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",91,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",88,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",89,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",106,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",28,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",89,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",58,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",22,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",39,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",105,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",89,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",42,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",160,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",14,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",100,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",73,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",111,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",114,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",9,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",99,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",36,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",0,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",44,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,175,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,119,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,48,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,201,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,11,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,106,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,77,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,57,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,119,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,0,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,70,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,59,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,0,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,61,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,213,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,63,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,37,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,138,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,11,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,5,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,49,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,57,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,118,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,0,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,48,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,45,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,1,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,65,17,031,831700,2023
