NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",2297,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",2344,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",1515,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",1052,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",1179,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",1185,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",1066,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",1186,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",1323,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",629,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",1243,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",1388,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",860,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",708,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",2469,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",2339,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",1476,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",1134,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",1232,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",1234,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",1087,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",1132,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",1439,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",659,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",1225,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",1473,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",968,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",702,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",2508,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",2437,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",1406,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",1101,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",1276,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",1140,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",1188,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",1133,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",1461,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",703,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",1325,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",1491,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",1099,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",725,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",2441,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",2495,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",1496,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",1216,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",1285,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",1242,17,031,150502,2021
