NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",645,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",882,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",349,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",134,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",239,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",262,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",144,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",236,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",330,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",89,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",101,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",202,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",136,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",119,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",805,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",841,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",333,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",198,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",264,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",296,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",180,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",273,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",318,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",96,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",123,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",193,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",143,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",105,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",821,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",942,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",339,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",209,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",295,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",236,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",148,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",242,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",272,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",61,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",155,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",196,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",101,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",103,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",733,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",846,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",393,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",154,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",303,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",207,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",242,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",283,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",294,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",80,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",205,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",209,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",172,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",79,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,688,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,827,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,360,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,162,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,273,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,256,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,208,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,252,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,286,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,55,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,160,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,238,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,150,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,120,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,702,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,665,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,274,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,189,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,265,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,247,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,236,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,314,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,361,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,47,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,254,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,245,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,174,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,138,17,031,831700,2023
