NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",2394,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",2490,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",1559,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",877,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",994,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",1360,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",1794,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",1933,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",2335,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",1731,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",3320,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",2940,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",1711,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",1562,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",2734,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",2637,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",1353,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",1163,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",1047,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",1456,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",1626,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",1906,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",2354,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",1832,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",3453,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",3293,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",1764,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",1392,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",2424,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",2132,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",1323,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",1188,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",994,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",1036,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",1881,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",1929,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",2605,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",1764,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",3843,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",3218,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",1799,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",1037,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",2175,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",1767,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",1461,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",1438,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",846,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",1428,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",1870,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",2084,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",2963,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",2004,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",3983,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",3452,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",1685,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",976,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,2204,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,1703,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,1495,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,1645,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,937,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,1415,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,1883,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,2221,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,2476,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,2048,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,3494,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,3198,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,1783,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,1024,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,1947,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,1544,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,1419,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,1709,17,031,150402,2023
