NAME,B17001_002E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",1008,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",640,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",486,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",169,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",258,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",722,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",424,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",751,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",249,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",469,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",481,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",935,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",335,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",426,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",1261,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",547,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",469,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",212,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",253,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",437,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",199,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",591,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",271,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",257,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",246,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",612,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",337,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",294,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",1159,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",447,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",326,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",256,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",89,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",289,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",358,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",260,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",182,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",190,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",200,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",598,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",211,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",311,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",1205,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",325,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",406,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",304,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",115,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",250,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",319,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",265,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",344,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",290,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",360,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",516,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",379,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",293,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,1165,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,460,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,515,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,303,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,189,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,287,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,300,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,293,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,656,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,301,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,536,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,609,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,386,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,244,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,929,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,457,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,569,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,374,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,184,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,256,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,422,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,202,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,460,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,317,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,574,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,472,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,481,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,268,17,031,831700,2023
