NAME,B23025_005E,state,county,tract,YEAR
"Census Tract 1502, Cook County, Illinois",404,17,031,150200,2018
"Census Tract 1503, Cook County, Illinois",168,17,031,150300,2018
"Census Tract 1504.01, Cook County, Illinois",162,17,031,150401,2018
"Census Tract 1504.02, Cook County, Illinois",96,17,031,150402,2018
"Census Tract 1505.01, Cook County, Illinois",195,17,031,150501,2018
"Census Tract 1505.02, Cook County, Illinois",143,17,031,150502,2018
"Census Tract 1506, Cook County, Illinois",84,17,031,150600,2018
"Census Tract 1507, Cook County, Illinois",21,17,031,150700,2018
"Census Tract 1508, Cook County, Illinois",295,17,031,150800,2018
"Census Tract 1510.01, Cook County, Illinois",96,17,031,151001,2018
"Census Tract 1510.02, Cook County, Illinois",189,17,031,151002,2018
"Census Tract 1511, Cook County, Illinois",153,17,031,151100,2018
"Census Tract 1512, Cook County, Illinois",121,17,031,151200,2018
"Census Tract 8317, Cook County, Illinois",175,17,031,831700,2018
"Census Tract 1502, Cook County, Illinois",354,17,031,150200,2019
"Census Tract 1503, Cook County, Illinois",171,17,031,150300,2019
"Census Tract 1504.01, Cook County, Illinois",127,17,031,150401,2019
"Census Tract 1504.02, Cook County, Illinois",99,17,031,150402,2019
"Census Tract 1505.01, Cook County, Illinois",165,17,031,150501,2019
"Census Tract 1505.02, Cook County, Illinois",68,17,031,150502,2019
"Census Tract 1506, Cook County, Illinois",65,17,031,150600,2019
"Census Tract 1507, Cook County, Illinois",40,17,031,150700,2019
"Census Tract 1508, Cook County, Illinois",257,17,031,150800,2019
"Census Tract 1510.01, Cook County, Illinois",83,17,031,151001,2019
"Census Tract 1510.02, Cook County, Illinois",127,17,031,151002,2019
"Census Tract 1511, Cook County, Illinois",190,17,031,151100,2019
"Census Tract 1512, Cook County, Illinois",115,17,031,151200,2019
"Census Tract 8317, Cook County, Illinois",147,17,031,831700,2019
"Census Tract 1502, Cook County, Illinois",295,17,031,150200,2020
"Census Tract 1503, Cook County, Illinois",272,17,031,150300,2020
"Census Tract 1504.01, Cook County, Illinois",77,17,031,150401,2020
"Census Tract 1504.02, Cook County, Illinois",136,17,031,150402,2020
"Census Tract 1505.01, Cook County, Illinois",126,17,031,150501,2020
"Census Tract 1505.02, Cook County, Illinois",55,17,031,150502,2020
"Census Tract 1506, Cook County, Illinois",132,17,031,150600,2020
"Census Tract 1507, Cook County, Illinois",81,17,031,150700,2020
"Census Tract 1508, Cook County, Illinois",251,17,031,150800,2020
"Census Tract 1510.01, Cook County, Illinois",80,17,031,151001,2020
"Census Tract 1510.02, Cook County, Illinois",124,17,031,151002,2020
"Census Tract 1511, Cook County, Illinois",131,17,031,151100,2020
"Census Tract 1512, Cook County, Illinois",137,17,031,151200,2020
"Census Tract 8317, Cook County, Illinois",106,17,031,831700,2020
"Census Tract 1502, Cook County, Illinois",366,17,031,150200,2021
"Census Tract 1503, Cook County, Illinois",304,17,031,150300,2021
"Census Tract 1504.01, Cook County, Illinois",156,17,031,150401,2021
"Census Tract 1504.02, Cook County, Illinois",154,17,031,150402,2021
"Census Tract 1505.01, Cook County, Illinois",122,17,031,150501,2021
"Census Tract 1505.02, Cook County, Illinois",18,17,031,150502,2021
"Census Tract 1506, Cook County, Illinois",153,17,031,150600,2021
"Census Tract 1507, Cook County, Illinois",81,17,031,150700,2021
"Census Tract 1508, Cook County, Illinois",242,17,031,150800,2021
"Census Tract 1510.01, Cook County, Illinois",114,17,031,151001,2021
"Census Tract 1510.02, Cook County, Illinois",122,17,031,151002,2021
"Census Tract 1511, Cook County, Illinois",73,17,031,151100,2021
"Census Tract 1512, Cook County, Illinois",82,17,031,151200,2021
"Census Tract 8317, Cook County, Illinois",86,17,031,831700,2021
Census Tract 1502; Cook County; Illinois,264,17,031,150200,2022
Census Tract 1503; Cook County; Illinois,298,17,031,150300,2022
Census Tract 1504.01; Cook County; Illinois,196,17,031,150401,2022
Census Tract 1504.02; Cook County; Illinois,80,17,031,150402,2022
Census Tract 1505.01; Cook County; Illinois,135,17,031,150501,2022
Census Tract 1505.02; Cook County; Illinois,26,17,031,150502,2022
Census Tract 1506; Cook County; Illinois,135,17,031,150600,2022
Census Tract 1507; Cook County; Illinois,106,17,031,150700,2022
Census Tract 1508; Cook County; Illinois,190,17,031,150800,2022
Census Tract 1510.01; Cook County; Illinois,93,17,031,151001,2022
Census Tract 1510.02; Cook County; Illinois,223,17,031,151002,2022
Census Tract 1511; Cook County; Illinois,104,17,031,151100,2022
Census Tract 1512; Cook County; Illinois,69,17,031,151200,2022
Census Tract 8317; Cook County; Illinois,53,17,031,831700,2022
Census Tract 1502; Cook County; Illinois,181,17,031,150200,2023
Census Tract 1503; Cook County; Illinois,245,17,031,150300,2023
Census Tract 1504.01; Cook County; Illinois,207,17,031,150401,2023
Census Tract 1504.02; Cook County; Illinois,56,17,031,150402,2023
Census Tract 1505.01; Cook County; Illinois,126,17,031,150501,2023
Census Tract 1505.02; Cook County; Illinois,70,17,031,150502,2023
Census Tract 1506; Cook County; Illinois,124,17,031,150600,2023
Census Tract 1507; Cook County; Illinois,71,17,031,150700,2023
Census Tract 1508; Cook County; Illinois,162,17,031,150800,2023
Census Tract 1510.01; Cook County; Illinois,58,17,031,151001,2023
Census Tract 1510.02; Cook County; Illinois,173,17,031,151002,2023
Census Tract 1511; Cook County; Illinois,81,17,031,151100,2023
Census Tract 1512; Cook County; Illinois,38,17,031,151200,2023
Census Tract 8317; Cook County; Illinois,45,17,031,831700,2023
