NAME_x,white,state_x,county_x,tract,YEAR,NAME_y,black,state_y,county_y,NAME,hispanic,state,county,race_total,white_pct,black_pct,hispanic_pct,majority_race
"Census Tract 3005, Cook County, Illinois",46,17,31,300500,2018,"Census Tract 3005, Cook County, Illinois",174,17,31,"Census Tract 3005, Cook County, Illinois",2660,17,31,2880,0.01597222222222222,0.06041666666666667,0.9236111111111112,hispanic
"Census Tract 3005, Cook County, Illinois",43,17,31,300500,2019,"Census Tract 3005, Cook County, Illinois",168,17,31,"Census Tract 3005, Cook County, Illinois",2699,17,31,2910,0.014776632302405498,0.0577319587628866,0.9274914089347079,hispanic
"Census Tract 3005, Cook County, Illinois",139,17,31,300500,2020,"Census Tract 3005, Cook County, Illinois",92,17,31,"Census Tract 3005, Cook County, Illinois",2553,17,31,2784,0.04992816091954023,0.033045977011494254,0.9170258620689655,hispanic
"Census Tract 3005, Cook County, Illinois",161,17,31,300500,2021,"Census Tract 3005, Cook County, Illinois",61,17,31,"Census Tract 3005, Cook County, Illinois",2992,17,31,3214,0.05009334163036715,0.018979464841319228,0.9309271935283137,hispanic
Census Tract 3005; Cook County; Illinois,148,17,31,300500,2022,Census Tract 3005; Cook County; Illinois,63,17,31,Census Tract 3005; Cook County; Illinois,3029,17,31,3240,0.04567901234567901,0.019444444444444445,0.9348765432098766,hispanic
Census Tract 3005; Cook County; Illinois,229,17,31,300500,2023,Census Tract 3005; Cook County; Illinois,31,17,31,Census Tract 3005; Cook County; Illinois,3207,17,31,3467,0.06605134121719065,0.008941447937698297,0.9250072108451111,hispanic
"Census Tract 3006, Cook County, Illinois",263,17,31,300600,2018,"Census Tract 3006, Cook County, Illinois",429,17,31,"Census Tract 3006, Cook County, Illinois",2468,17,31,3160,0.08322784810126582,0.13575949367088608,0.7810126582278482,hispanic
"Census Tract 3006, Cook County, Illinois",285,17,31,300600,2019,"Census Tract 3006, Cook County, Illinois",401,17,31,"Census Tract 3006, Cook County, Illinois",2326,17,31,3012,0.0946215139442231,0.13313413014608233,0.7722443559096945,hispanic
"Census Tract 3006, Cook County, Illinois",89,17,31,300600,2020,"Census Tract 3006, Cook County, Illinois",321,17,31,"Census Tract 3006, Cook County, Illinois",2320,17,31,2730,0.0326007326007326,0.11758241758241758,0.8498168498168498,hispanic
"Census Tract 3006, Cook County, Illinois",96,17,31,300600,2021,"Census Tract 3006, Cook County, Illinois",351,17,31,"Census Tract 3006, Cook County, Illinois",2379,17,31,2826,0.03397027600849257,0.12420382165605096,0.8418259023354565,hispanic
Census Tract 3006; Cook County; Illinois,115,17,31,300600,2022,Census Tract 3006; Cook County; Illinois,359,17,31,Census Tract 3006; Cook County; Illinois,2334,17,31,2808,0.04095441595441596,0.12784900284900286,0.8311965811965812,hispanic
Census Tract 3006; Cook County; Illinois,152,17,31,300600,2023,Census Tract 3006; Cook County; Illinois,181,17,31,Census Tract 3006; Cook County; Illinois,2573,17,31,2906,0.05230557467309016,0.062284927735719205,0.8854094975911906,hispanic
"Census Tract 3007, Cook County, Illinois",64,17,31,300700,2018,"Census Tract 3007, Cook County, Illinois",43,17,31,"Census Tract 3007, Cook County, Illinois",4582,17,31,4689,0.01364896566432075,0.009170398805715504,0.9771806355299637,hispanic
"Census Tract 3007, Cook County, Illinois",83,17,31,300700,2019,"Census Tract 3007, Cook County, Illinois",65,17,31,"Census Tract 3007, Cook County, Illinois",4654,17,31,4802,0.017284464806330696,0.013536026655560184,0.9691795085381091,hispanic
"Census Tract 3007, Cook County, Illinois",63,17,31,300700,2020,"Census Tract 3007, Cook County, Illinois",88,17,31,"Census Tract 3007, Cook County, Illinois",4384,17,31,4535,0.013891951488423374,0.019404630650496142,0.9667034178610805,hispanic
"Census Tract 3007, Cook County, Illinois",59,17,31,300700,2021,"Census Tract 3007, Cook County, Illinois",48,17,31,"Census Tract 3007, Cook County, Illinois",4591,17,31,4698,0.012558535547041293,0.010217113665389528,0.9772243507875692,hispanic
Census Tract 3007; Cook County; Illinois,21,17,31,300700,2022,Census Tract 3007; Cook County; Illinois,0,17,31,Census Tract 3007; Cook County; Illinois,4545,17,31,4566,0.0045992115637319315,0.0,0.9954007884362681,hispanic
Census Tract 3007; Cook County; Illinois,54,17,31,300700,2023,Census Tract 3007; Cook County; Illinois,36,17,31,Census Tract 3007; Cook County; Illinois,4552,17,31,4642,0.011632916846186989,0.007755277897457992,0.980611805256355,hispanic
"Census Tract 3008, Cook County, Illinois",40,17,31,300800,2018,"Census Tract 3008, Cook County, Illinois",0,17,31,"Census Tract 3008, Cook County, Illinois",4030,17,31,4070,0.009828009828009828,0.0,0.9901719901719902,hispanic
"Census Tract 3008, Cook County, Illinois",51,17,31,300800,2019,"Census Tract 3008, Cook County, Illinois",0,17,31,"Census Tract 3008, Cook County, Illinois",3897,17,31,3948,0.012917933130699088,0.0,0.9870820668693009,hispanic
"Census Tract 3008, Cook County, Illinois",56,17,31,300800,2020,"Census Tract 3008, Cook County, Illinois",0,17,31,"Census Tract 3008, Cook County, Illinois",3905,17,31,3961,0.014137843978793235,0.0,0.9858621560212067,hispanic
"Census Tract 3008, Cook County, Illinois",59,17,31,300800,2021,"Census Tract 3008, Cook County, Illinois",0,17,31,"Census Tract 3008, Cook County, Illinois",4308,17,31,4367,0.013510419051980764,0.0,0.9864895809480192,hispanic
Census Tract 3008; Cook County; Illinois,57,17,31,300800,2022,Census Tract 3008; Cook County; Illinois,0,17,31,Census Tract 3008; Cook County; Illinois,4112,17,31,4169,0.013672343487646918,0.0,0.9863276565123531,hispanic
Census Tract 3008; Cook County; Illinois,162,17,31,300800,2023,Census Tract 3008; Cook County; Illinois,0,17,31,Census Tract 3008; Cook County; Illinois,3916,17,31,4078,0.039725355566454144,0.0,0.9602746444335458,hispanic
"Census Tract 3009, Cook County, Illinois",240,17,31,300900,2018,"Census Tract 3009, Cook County, Illinois",16,17,31,"Census Tract 3009, Cook County, Illinois",4069,17,31,4325,0.055491329479768786,0.003699421965317919,0.9408092485549133,hispanic
"Census Tract 3009, Cook County, Illinois",232,17,31,300900,2019,"Census Tract 3009, Cook County, Illinois",2,17,31,"Census Tract 3009, Cook County, Illinois",3989,17,31,4223,0.05493724840161023,0.0004735969689793985,0.9445891546294104,hispanic
"Census Tract 3009, Cook County, Illinois",254,17,31,300900,2020,"Census Tract 3009, Cook County, Illinois",0,17,31,"Census Tract 3009, Cook County, Illinois",3762,17,31,4016,0.06324701195219123,0.0,0.9367529880478087,hispanic
"Census Tract 3009, Cook County, Illinois",310,17,31,300900,2021,"Census Tract 3009, Cook County, Illinois",1,17,31,"Census Tract 3009, Cook County, Illinois",3671,17,31,3982,0.077850326469111,0.00025113008538422905,0.9218985434455048,hispanic
Census Tract 3009; Cook County; Illinois,119,17,31,300900,2022,Census Tract 3009; Cook County; Illinois,1,17,31,Census Tract 3009; Cook County; Illinois,3817,17,31,3937,0.030226060452120906,0.000254000508001016,0.9695199390398781,hispanic
Census Tract 3009; Cook County; Illinois,111,17,31,300900,2023,Census Tract 3009; Cook County; Illinois,1,17,31,Census Tract 3009; Cook County; Illinois,3593,17,31,3705,0.029959514170040485,0.0002699055330634278,0.9697705802968961,hispanic
"Census Tract 3011, Cook County, Illinois",101,17,31,301100,2018,"Census Tract 3011, Cook County, Illinois",171,17,31,"Census Tract 3011, Cook County, Illinois",2125,17,31,2397,0.042136003337505216,0.07133917396745933,0.8865248226950354,hispanic
"Census Tract 3011, Cook County, Illinois",116,17,31,301100,2019,"Census Tract 3011, Cook County, Illinois",199,17,31,"Census Tract 3011, Cook County, Illinois",1879,17,31,2194,0.0528714676390155,0.09070191431175935,0.8564266180492252,hispanic
"Census Tract 3011, Cook County, Illinois",249,17,31,301100,2020,"Census Tract 3011, Cook County, Illinois",64,17,31,"Census Tract 3011, Cook County, Illinois",1835,17,31,2148,0.11592178770949721,0.0297951582867784,0.8542830540037244,hispanic
"Census Tract 3011, Cook County, Illinois",286,17,31,301100,2021,"Census Tract 3011, Cook County, Illinois",42,17,31,"Census Tract 3011, Cook County, Illinois",1822,17,31,2150,0.1330232558139535,0.01953488372093023,0.8474418604651163,hispanic
Census Tract 3011; Cook County; Illinois,304,17,31,301100,2022,Census Tract 3011; Cook County; Illinois,95,17,31,Census Tract 3011; Cook County; Illinois,2010,17,31,2409,0.1261934412619344,0.039435450394354504,0.8343711083437111,hispanic
Census Tract 3011; Cook County; Illinois,293,17,31,301100,2023,Census Tract 3011; Cook County; Illinois,62,17,31,Census Tract 3011; Cook County; Illinois,2099,17,31,2454,0.11939690301548492,0.02526487367563162,0.8553382233088834,hispanic
"Census Tract 3012, Cook County, Illinois",128,17,31,301200,2018,"Census Tract 3012, Cook County, Illinois",271,17,31,"Census Tract 3012, Cook County, Illinois",3639,17,31,4038,0.0316988608221892,0.0671124318969787,0.9011887072808321,hispanic
"Census Tract 3012, Cook County, Illinois",165,17,31,301200,2019,"Census Tract 3012, Cook County, Illinois",347,17,31,"Census Tract 3012, Cook County, Illinois",3891,17,31,4403,0.03747444923915512,0.0788099023393141,0.8837156484215307,hispanic
"Census Tract 3012, Cook County, Illinois",276,17,31,301200,2020,"Census Tract 3012, Cook County, Illinois",699,17,31,"Census Tract 3012, Cook County, Illinois",3551,17,31,4526,0.06098099867432612,0.154441007512152,0.7845779938135219,hispanic
