NAME,B15003_022E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",144,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",246,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",216,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",95,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",125,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",125,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",149,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",260,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",147,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",108,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",149,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",173,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",133,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",128,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",253,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",72,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",68,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",185,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",177,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",201,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",250,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",85,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",158,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",116,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",152,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",254,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",141,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",115,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",167,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",159,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",206,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",144,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",396,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",111,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",95,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",244,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",307,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",115,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",241,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",91,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",166,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",92,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",245,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",262,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",117,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",113,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",270,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",159,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",273,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",159,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",623,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",184,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",90,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",244,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",262,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",87,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",266,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",90,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",175,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",56,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",292,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",262,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",109,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",102,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",266,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",154,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",268,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",221,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",689,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",271,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",87,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",225,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,231,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,79,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,213,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,42,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,124,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,90,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,372,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,234,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,157,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,138,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,277,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,82,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,214,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,265,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,771,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,307,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,131,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,203,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,281,17,031,300500,2023
Census Tract 3006; Cook County; Illinois,68,17,031,300600,2023
Census Tract 3007; Cook County; Illinois,122,17,031,300700,2023
Census Tract 3008; Cook County; Illinois,118,17,031,300800,2023
Census Tract 3009; Cook County; Illinois,85,17,031,300900,2023
Census Tract 3011; Cook County; Illinois,117,17,031,301100,2023
Census Tract 3012; Cook County; Illinois,444,17,031,301200,2023
Census Tract 3016; Cook County; Illinois,169,17,031,301600,2023
Census Tract 3017.01; Cook County; Illinois,105,17,031,301701,2023
Census Tract 3017.02; Cook County; Illinois,120,17,031,301702,2023
Census Tract 3018.01; Cook County; Illinois,369,17,031,301801,2023
Census Tract 3018.02; Cook County; Illinois,141,17,031,301802,2023
Census Tract 3018.03; Cook County; Illinois,234,17,031,301803,2023
Census Tract 8305; Cook County; Illinois,166,17,031,830500,2023
