NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",174,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",429,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",43,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",0,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",16,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",171,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",271,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",63,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",1,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",0,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",1,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",30,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",147,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",0,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",183,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",27,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",801,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",6767,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",168,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",401,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",65,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",0,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",2,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",199,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",347,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",113,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",1,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",0,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",2,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",33,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",0,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",0,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",265,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",31,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",854,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",6417,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",92,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",321,17,031,300600,2020
