NAME,B28002_004E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",588,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",545,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",802,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",604,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",877,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",418,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",713,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",879,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",459,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",621,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",668,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",442,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",858,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",752,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",609,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",544,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",244,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",205,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",599,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",574,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",1008,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",579,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",949,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",551,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",809,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",842,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",489,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",775,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",606,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",462,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",863,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",723,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",692,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",624,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",272,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",205,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",650,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",677,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",1346,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",614,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",1152,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",534,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",1113,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",996,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",847,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",941,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",836,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",476,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",807,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",743,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",775,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",659,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",333,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",194,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",778,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",790,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",1506,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",749,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",1044,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",580,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",1161,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",946,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",882,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",1087,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",804,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",540,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",780,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",778,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",962,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",739,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",368,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",194,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,790,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,883,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,1515,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,808,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,1044,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,609,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,1223,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,1009,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,1001,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,1113,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,849,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,541,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,747,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,876,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,1102,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,753,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,438,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,223,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,872,17,031,300500,2023
Census Tract 3006; Cook County; Illinois,789,17,031,300600,2023
Census Tract 3007; Cook County; Illinois,1589,17,031,300700,2023
Census Tract 3008; Cook County; Illinois,818,17,031,300800,2023
Census Tract 3009; Cook County; Illinois,1130,17,031,300900,2023
Census Tract 3011; Cook County; Illinois,643,17,031,301100,2023
Census Tract 3012; Cook County; Illinois,1467,17,031,301200,2023
Census Tract 3016; Cook County; Illinois,1082,17,031,301600,2023
Census Tract 3017.01; Cook County; Illinois,1067,17,031,301701,2023
Census Tract 3017.02; Cook County; Illinois,1119,17,031,301702,2023
Census Tract 3018.01; Cook County; Illinois,792,17,031,301801,2023
Census Tract 3018.02; Cook County; Illinois,626,17,031,301802,2023
Census Tract 3018.03; Cook County; Illinois,851,17,031,301803,2023
Census Tract 8305; Cook County; Illinois,925,17,031,830500,2023
Census Tract 8407; Cook County; Illinois,1181,17,031,840700,2023
Census Tract 8408; Cook County; Illinois,812,17,031,840800,2023
Census Tract 8417; Cook County; Illinois,496,17,031,841700,2023
Census Tract 8435; Cook County; Illinois,147,17,031,843500,2023
