NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",39,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",11,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",82,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",21,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",13,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",34,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",20,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",68,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",40,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",15,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",49,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",24,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",59,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",0,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",72,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",0,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",14,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",0,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",17,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",20,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",102,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",7,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",16,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",52,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",61,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",71,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",23,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",18,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",54,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",38,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",50,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",0,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",59,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",0,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",10,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",6,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",60,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",17,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",81,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",8,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",21,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",86,17,031,301100,2020
