NAME,B03002_012E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",2660,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",2468,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",4582,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",4030,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",4069,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",2125,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",3639,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",4698,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",3821,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",4239,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",3394,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",3417,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",4702,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",4893,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",3149,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",2970,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",872,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",2617,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",2699,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",2326,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",4654,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",3897,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",3989,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",1879,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",3891,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",4042,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",3743,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",4526,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",3377,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",3313,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",4267,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",3867,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",2899,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",3104,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",729,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",2671,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",2553,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",2320,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",4384,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",3905,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",3762,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",1835,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",3551,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",3590,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",3592,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",3821,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",4372,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",2653,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",3424,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",3867,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",2748,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",3157,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",614,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",2601,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",2992,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",2379,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",4591,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",4308,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",3671,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",1822,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",4006,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",3086,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",3139,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",3370,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",4029,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",2645,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",3211,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",3920,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",3230,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",3294,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",607,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",2515,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,3029,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,2334,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,4545,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,4112,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,3817,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,2010,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,3930,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,2989,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,3702,17,031,301701,2022
Census Tract 3017.02; Cook County; Illinois,4011,17,031,301702,2022
Census Tract 3018.01; Cook County; Illinois,4010,17,031,301801,2022
Census Tract 3018.02; Cook County; Illinois,2534,17,031,301802,2022
Census Tract 3018.03; Cook County; Illinois,3131,17,031,301803,2022
Census Tract 8305; Cook County; Illinois,3896,17,031,830500,2022
Census Tract 8407; Cook County; Illinois,2970,17,031,840700,2022
Census Tract 8408; Cook County; Illinois,3169,17,031,840800,2022
Census Tract 8417; Cook County; Illinois,615,17,031,841700,2022
Census Tract 8435; Cook County; Illinois,2220,17,031,843500,2022
Census Tract 3005; Cook County; Illinois,3207,17,031,300500,2023
Census Tract 3006; Cook County; Illinois,2573,17,031,300600,2023
Census Tract 3007; Cook County; Illinois,4552,17,031,300700,2023
Census Tract 3008; Cook County; Illinois,3916,17,031,300800,2023
Census Tract 3009; Cook County; Illinois,3593,17,031,300900,2023
Census Tract 3011; Cook County; Illinois,2099,17,031,301100,2023
Census Tract 3012; Cook County; Illinois,2893,17,031,301200,2023
Census Tract 3016; Cook County; Illinois,3147,17,031,301600,2023
Census Tract 3017.01; Cook County; Illinois,3648,17,031,301701,2023
Census Tract 3017.02; Cook County; Illinois,4231,17,031,301702,2023
