NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",38113,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",44492,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",36224,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",29949,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",26833,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",28723,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",27328,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",35411,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",29773,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",39614,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",34427,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",35925,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",32308,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",39401,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",37966,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",31752,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",22444,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",27891,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",40083,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",43594,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",40789,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",30367,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",29098,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",31207,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",35259,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",28484,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",30742,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",43771,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",37000,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",31875,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",32208,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",37917,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",43207,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",34773,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",18810,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",29375,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",52534,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",43937,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",40582,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",27474,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",31609,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",33850,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",33971,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",26554,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",46763,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",43030,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",41283,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",37639,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",33227,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",37306,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",70163,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",42902,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",19467,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",27330,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",49500,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",46839,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",43801,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",30465,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",30395,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",34315,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",38319,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",28527,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",49026,17,031,301701,2021
"Census Tract 3017.02, Cook County, Illinois",40128,17,031,301702,2021
"Census Tract 3018.01, Cook County, Illinois",41188,17,031,301801,2021
"Census Tract 3018.02, Cook County, Illinois",37857,17,031,301802,2021
"Census Tract 3018.03, Cook County, Illinois",37299,17,031,301803,2021
"Census Tract 8305, Cook County, Illinois",40736,17,031,830500,2021
"Census Tract 8407, Cook County, Illinois",76629,17,031,840700,2021
"Census Tract 8408, Cook County, Illinois",43807,17,031,840800,2021
"Census Tract 8417, Cook County, Illinois",17266,17,031,841700,2021
"Census Tract 8435, Cook County, Illinois",33906,17,031,843500,2021
Census Tract 3005; Cook County; Illinois,50329,17,031,300500,2022
Census Tract 3006; Cook County; Illinois,48915,17,031,300600,2022
Census Tract 3007; Cook County; Illinois,46554,17,031,300700,2022
Census Tract 3008; Cook County; Illinois,29684,17,031,300800,2022
Census Tract 3009; Cook County; Illinois,32766,17,031,300900,2022
Census Tract 3011; Cook County; Illinois,34608,17,031,301100,2022
Census Tract 3012; Cook County; Illinois,50040,17,031,301200,2022
Census Tract 3016; Cook County; Illinois,28442,17,031,301600,2022
Census Tract 3017.01; Cook County; Illinois,52115,17,031,301701,2022
