NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 3005, Cook County, Illinois",2889,17,031,300500,2018
"Census Tract 3006, Cook County, Illinois",3186,17,031,300600,2018
"Census Tract 3007, Cook County, Illinois",4721,17,031,300700,2018
"Census Tract 3008, Cook County, Illinois",4070,17,031,300800,2018
"Census Tract 3009, Cook County, Illinois",4402,17,031,300900,2018
"Census Tract 3011, Cook County, Illinois",2423,17,031,301100,2018
"Census Tract 3012, Cook County, Illinois",4087,17,031,301200,2018
"Census Tract 3016, Cook County, Illinois",4881,17,031,301600,2018
"Census Tract 3017.01, Cook County, Illinois",3943,17,031,301701,2018
"Census Tract 3017.02, Cook County, Illinois",4387,17,031,301702,2018
"Census Tract 3018.01, Cook County, Illinois",3625,17,031,301801,2018
"Census Tract 3018.02, Cook County, Illinois",3509,17,031,301802,2018
"Census Tract 3018.03, Cook County, Illinois",5011,17,031,301803,2018
"Census Tract 8305, Cook County, Illinois",4959,17,031,830500,2018
"Census Tract 8407, Cook County, Illinois",3697,17,031,840700,2018
"Census Tract 8408, Cook County, Illinois",3011,17,031,840800,2018
"Census Tract 8417, Cook County, Illinois",1825,17,031,841700,2018
"Census Tract 8435, Cook County, Illinois",10317,17,031,843500,2018
"Census Tract 3005, Cook County, Illinois",2916,17,031,300500,2019
"Census Tract 3006, Cook County, Illinois",3035,17,031,300600,2019
"Census Tract 3007, Cook County, Illinois",4841,17,031,300700,2019
"Census Tract 3008, Cook County, Illinois",3960,17,031,300800,2019
"Census Tract 3009, Cook County, Illinois",4223,17,031,300900,2019
"Census Tract 3011, Cook County, Illinois",2217,17,031,301100,2019
"Census Tract 3012, Cook County, Illinois",4417,17,031,301200,2019
"Census Tract 3016, Cook County, Illinois",4242,17,031,301600,2019
"Census Tract 3017.01, Cook County, Illinois",3785,17,031,301701,2019
"Census Tract 3017.02, Cook County, Illinois",4645,17,031,301702,2019
"Census Tract 3018.01, Cook County, Illinois",3568,17,031,301801,2019
"Census Tract 3018.02, Cook County, Illinois",3421,17,031,301802,2019
"Census Tract 3018.03, Cook County, Illinois",4423,17,031,301803,2019
"Census Tract 8305, Cook County, Illinois",3901,17,031,830500,2019
"Census Tract 8407, Cook County, Illinois",3592,17,031,840700,2019
"Census Tract 8408, Cook County, Illinois",3151,17,031,840800,2019
"Census Tract 8417, Cook County, Illinois",1651,17,031,841700,2019
"Census Tract 8435, Cook County, Illinois",10169,17,031,843500,2019
"Census Tract 3005, Cook County, Illinois",2793,17,031,300500,2020
"Census Tract 3006, Cook County, Illinois",2757,17,031,300600,2020
"Census Tract 3007, Cook County, Illinois",4572,17,031,300700,2020
"Census Tract 3008, Cook County, Illinois",3973,17,031,300800,2020
"Census Tract 3009, Cook County, Illinois",4016,17,031,300900,2020
"Census Tract 3011, Cook County, Illinois",2148,17,031,301100,2020
"Census Tract 3012, Cook County, Illinois",4654,17,031,301200,2020
"Census Tract 3016, Cook County, Illinois",3754,17,031,301600,2020
"Census Tract 3017.01, Cook County, Illinois",4099,17,031,301701,2020
"Census Tract 3017.02, Cook County, Illinois",3961,17,031,301702,2020
"Census Tract 3018.01, Cook County, Illinois",4437,17,031,301801,2020
"Census Tract 3018.02, Cook County, Illinois",2746,17,031,301802,2020
"Census Tract 3018.03, Cook County, Illinois",3547,17,031,301803,2020
"Census Tract 8305, Cook County, Illinois",3910,17,031,830500,2020
"Census Tract 8407, Cook County, Illinois",3508,17,031,840700,2020
"Census Tract 8408, Cook County, Illinois",3243,17,031,840800,2020
"Census Tract 8417, Cook County, Illinois",1444,17,031,841700,2020
"Census Tract 8435, Cook County, Illinois",10673,17,031,843500,2020
"Census Tract 3005, Cook County, Illinois",3214,17,031,300500,2021
"Census Tract 3006, Cook County, Illinois",2862,17,031,300600,2021
"Census Tract 3007, Cook County, Illinois",4740,17,031,300700,2021
"Census Tract 3008, Cook County, Illinois",4387,17,031,300800,2021
"Census Tract 3009, Cook County, Illinois",3982,17,031,300900,2021
"Census Tract 3011, Cook County, Illinois",2150,17,031,301100,2021
"Census Tract 3012, Cook County, Illinois",5119,17,031,301200,2021
"Census Tract 3016, Cook County, Illinois",3326,17,031,301600,2021
"Census Tract 3017.01, Cook County, Illinois",3637,17,031,301701,2021
