NAME,B19013_001E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",27450,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",22143,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",20938,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",24667,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",26200,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",23021,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",35074,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",22219,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",36875,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",32426,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",21699,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",28466,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",23636,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",26822,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",20919,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",32163,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",52625,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",43063,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",19676,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",27500,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",28250,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",22395,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",28625,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",24200,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",26250,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",27277,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",24597,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",33438,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",33571,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",24896,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",27882,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",23029,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",27125,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",19132,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",28036,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",47400,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",36438,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",17522,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",24625,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",26563,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",24375,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",28990,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",27986,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",21452,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",32266,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",24158,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",32708,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",-666666666,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",36397,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",24750,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",23330,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",32470,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",19566,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",29643,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",49653,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",36548,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",19375,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",26800,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",27667,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",25789,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",27139,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",26538,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",22083,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",27413,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",25750,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",27465,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",13060,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",39231,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",27316,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",25981,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",34460,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",17831,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",31061,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",59663,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",39595,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",16574,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,24583,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,34459,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,30179,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,32083,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,30313,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,37621,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,35500,17,031,670700,2022
Census Tract 6708; Cook County; Illinois,39297,17,031,670800,2022
Census Tract 6709; Cook County; Illinois,29906,17,031,670900,2022
Census Tract 6711; Cook County; Illinois,15159,17,031,671100,2022
Census Tract 6712; Cook County; Illinois,40286,17,031,671200,2022
Census Tract 6713; Cook County; Illinois,28056,17,031,671300,2022
Census Tract 6714; Cook County; Illinois,26080,17,031,671400,2022
Census Tract 6715; Cook County; Illinois,34167,17,031,671500,2022
Census Tract 6716; Cook County; Illinois,21063,17,031,671600,2022
Census Tract 6718; Cook County; Illinois,34470,17,031,671800,2022
Census Tract 6719; Cook County; Illinois,-666666666,17,031,671900,2022
Census Tract 6720; Cook County; Illinois,38654,17,031,672000,2022
Census Tract 8349; Cook County; Illinois,18500,17,031,834900,2022
Census Tract 6701; Cook County; Illinois,36313,17,031,670100,2023
Census Tract 6702; Cook County; Illinois,96152,17,031,670200,2023
Census Tract 6703; Cook County; Illinois,35038,17,031,670300,2023
Census Tract 6704; Cook County; Illinois,33482,17,031,670400,2023
Census Tract 6705; Cook County; Illinois,29856,17,031,670500,2023
Census Tract 6706; Cook County; Illinois,39000,17,031,670600,2023
Census Tract 6707; Cook County; Illinois,29541,17,031,670700,2023
Census Tract 6708; Cook County; Illinois,43145,17,031,670800,2023
Census Tract 6709; Cook County; Illinois,30542,17,031,670900,2023
Census Tract 6711; Cook County; Illinois,15735,17,031,671100,2023
Census Tract 6712; Cook County; Illinois,42143,17,031,671200,2023
Census Tract 6713; Cook County; Illinois,29563,17,031,671300,2023
Census Tract 6714; Cook County; Illinois,29469,17,031,671400,2023
Census Tract 6715; Cook County; Illinois,43203,17,031,671500,2023
Census Tract 6716; Cook County; Illinois,25849,17,031,671600,2023
Census Tract 6718; Cook County; Illinois,52125,17,031,671800,2023
Census Tract 6719; Cook County; Illinois,36337,17,031,671900,2023
Census Tract 6720; Cook County; Illinois,45192,17,031,672000,2023
Census Tract 8349; Cook County; Illinois,20086,17,031,834900,2023
