NAME,B25003_002E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",154,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",142,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",192,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",228,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",198,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",208,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",209,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",197,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",281,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",102,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",60,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",295,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",298,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",414,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",207,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",230,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",224,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",692,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",192,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",154,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",168,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",190,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",257,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",153,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",207,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",157,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",166,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",194,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",100,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",87,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",305,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",315,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",415,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",150,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",219,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",206,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",657,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",125,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",141,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",154,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",183,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",217,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",129,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",193,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",161,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",164,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",196,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",91,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",82,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",368,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",419,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",423,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",139,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",186,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",175,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",724,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",114,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",200,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",106,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",160,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",246,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",129,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",221,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",138,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",151,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",294,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",138,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",105,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",349,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",427,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",428,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",128,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",199,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",196,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",715,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",91,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,239,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,112,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,131,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,249,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,149,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,259,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,171,17,031,670700,2022
Census Tract 6708; Cook County; Illinois,147,17,031,670800,2022
Census Tract 6709; Cook County; Illinois,343,17,031,670900,2022
Census Tract 6711; Cook County; Illinois,138,17,031,671100,2022
Census Tract 6712; Cook County; Illinois,113,17,031,671200,2022
Census Tract 6713; Cook County; Illinois,454,17,031,671300,2022
Census Tract 6714; Cook County; Illinois,424,17,031,671400,2022
Census Tract 6715; Cook County; Illinois,430,17,031,671500,2022
Census Tract 6716; Cook County; Illinois,206,17,031,671600,2022
Census Tract 6718; Cook County; Illinois,189,17,031,671800,2022
Census Tract 6719; Cook County; Illinois,210,17,031,671900,2022
Census Tract 6720; Cook County; Illinois,715,17,031,672000,2022
Census Tract 8349; Cook County; Illinois,131,17,031,834900,2022
Census Tract 6701; Cook County; Illinois,292,17,031,670100,2023
Census Tract 6702; Cook County; Illinois,85,17,031,670200,2023
Census Tract 6703; Cook County; Illinois,115,17,031,670300,2023
Census Tract 6704; Cook County; Illinois,252,17,031,670400,2023
Census Tract 6705; Cook County; Illinois,136,17,031,670500,2023
Census Tract 6706; Cook County; Illinois,313,17,031,670600,2023
Census Tract 6707; Cook County; Illinois,149,17,031,670700,2023
Census Tract 6708; Cook County; Illinois,184,17,031,670800,2023
Census Tract 6709; Cook County; Illinois,302,17,031,670900,2023
Census Tract 6711; Cook County; Illinois,146,17,031,671100,2023
Census Tract 6712; Cook County; Illinois,122,17,031,671200,2023
Census Tract 6713; Cook County; Illinois,400,17,031,671300,2023
Census Tract 6714; Cook County; Illinois,392,17,031,671400,2023
Census Tract 6715; Cook County; Illinois,379,17,031,671500,2023
Census Tract 6716; Cook County; Illinois,265,17,031,671600,2023
Census Tract 6718; Cook County; Illinois,185,17,031,671800,2023
Census Tract 6719; Cook County; Illinois,225,17,031,671900,2023
Census Tract 6720; Cook County; Illinois,746,17,031,672000,2023
Census Tract 8349; Cook County; Illinois,156,17,031,834900,2023
