NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",231,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",188,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",235,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",296,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",152,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",139,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",147,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",341,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",206,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",197,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",247,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",320,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",184,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",388,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",500,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",147,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",81,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",465,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",534,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",244,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",241,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",227,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",271,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",197,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",129,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",212,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",354,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",277,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",166,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",232,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",360,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",159,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",456,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",517,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",164,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",84,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",416,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",552,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",251,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",269,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",241,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",344,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",228,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",135,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",152,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",307,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",293,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",166,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",221,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",333,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",139,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",396,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",530,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",192,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",124,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",296,17,031,672000,2020
"Census Tract 8349, Cook County, Illinois",573,17,031,834900,2020
"Census Tract 6701, Cook County, Illinois",230,17,031,670100,2021
"Census Tract 6702, Cook County, Illinois",260,17,031,670200,2021
"Census Tract 6703, Cook County, Illinois",288,17,031,670300,2021
"Census Tract 6704, Cook County, Illinois",353,17,031,670400,2021
"Census Tract 6705, Cook County, Illinois",245,17,031,670500,2021
"Census Tract 6706, Cook County, Illinois",144,17,031,670600,2021
"Census Tract 6707, Cook County, Illinois",181,17,031,670700,2021
"Census Tract 6708, Cook County, Illinois",321,17,031,670800,2021
"Census Tract 6709, Cook County, Illinois",267,17,031,670900,2021
"Census Tract 6711, Cook County, Illinois",266,17,031,671100,2021
"Census Tract 6712, Cook County, Illinois",169,17,031,671200,2021
"Census Tract 6713, Cook County, Illinois",350,17,031,671300,2021
"Census Tract 6714, Cook County, Illinois",115,17,031,671400,2021
"Census Tract 6715, Cook County, Illinois",475,17,031,671500,2021
"Census Tract 6716, Cook County, Illinois",542,17,031,671600,2021
"Census Tract 6718, Cook County, Illinois",195,17,031,671800,2021
"Census Tract 6719, Cook County, Illinois",143,17,031,671900,2021
"Census Tract 6720, Cook County, Illinois",303,17,031,672000,2021
"Census Tract 8349, Cook County, Illinois",495,17,031,834900,2021
Census Tract 6701; Cook County; Illinois,208,17,031,670100,2022
Census Tract 6702; Cook County; Illinois,244,17,031,670200,2022
Census Tract 6703; Cook County; Illinois,282,17,031,670300,2022
Census Tract 6704; Cook County; Illinois,368,17,031,670400,2022
Census Tract 6705; Cook County; Illinois,209,17,031,670500,2022
Census Tract 6706; Cook County; Illinois,108,17,031,670600,2022
Census Tract 6707; Cook County; Illinois,141,17,031,670700,2022
Census Tract 6708; Cook County; Illinois,278,17,031,670800,2022
Census Tract 6709; Cook County; Illinois,205,17,031,670900,2022
Census Tract 6711; Cook County; Illinois,235,17,031,671100,2022
Census Tract 6712; Cook County; Illinois,155,17,031,671200,2022
Census Tract 6713; Cook County; Illinois,288,17,031,671300,2022
Census Tract 6714; Cook County; Illinois,141,17,031,671400,2022
Census Tract 6715; Cook County; Illinois,500,17,031,671500,2022
Census Tract 6716; Cook County; Illinois,501,17,031,671600,2022
Census Tract 6718; Cook County; Illinois,189,17,031,671800,2022
Census Tract 6719; Cook County; Illinois,138,17,031,671900,2022
Census Tract 6720; Cook County; Illinois,343,17,031,672000,2022
Census Tract 8349; Cook County; Illinois,481,17,031,834900,2022
Census Tract 6701; Cook County; Illinois,159,17,031,670100,2023
Census Tract 6702; Cook County; Illinois,399,17,031,670200,2023
Census Tract 6703; Cook County; Illinois,314,17,031,670300,2023
Census Tract 6704; Cook County; Illinois,381,17,031,670400,2023
Census Tract 6705; Cook County; Illinois,261,17,031,670500,2023
Census Tract 6706; Cook County; Illinois,67,17,031,670600,2023
Census Tract 6707; Cook County; Illinois,147,17,031,670700,2023
Census Tract 6708; Cook County; Illinois,238,17,031,670800,2023
Census Tract 6709; Cook County; Illinois,219,17,031,670900,2023
Census Tract 6711; Cook County; Illinois,266,17,031,671100,2023
Census Tract 6712; Cook County; Illinois,118,17,031,671200,2023
Census Tract 6713; Cook County; Illinois,294,17,031,671300,2023
Census Tract 6714; Cook County; Illinois,174,17,031,671400,2023
Census Tract 6715; Cook County; Illinois,506,17,031,671500,2023
Census Tract 6716; Cook County; Illinois,436,17,031,671600,2023
Census Tract 6718; Cook County; Illinois,184,17,031,671800,2023
Census Tract 6719; Cook County; Illinois,177,17,031,671900,2023
Census Tract 6720; Cook County; Illinois,316,17,031,672000,2023
Census Tract 8349; Cook County; Illinois,434,17,031,834900,2023
