NAME,B03002_001E,state,county,tract,YEAR
"Census Tract 6701, Cook County, Illinois",944,17,031,670100,2018
"Census Tract 6702, Cook County, Illinois",884,17,031,670200,2018
"Census Tract 6703, Cook County, Illinois",1126,17,031,670300,2018
"Census Tract 6704, Cook County, Illinois",1656,17,031,670400,2018
"Census Tract 6705, Cook County, Illinois",1047,17,031,670500,2018
"Census Tract 6706, Cook County, Illinois",1050,17,031,670600,2018
"Census Tract 6707, Cook County, Illinois",1072,17,031,670700,2018
"Census Tract 6708, Cook County, Illinois",1263,17,031,670800,2018
"Census Tract 6709, Cook County, Illinois",1457,17,031,670900,2018
"Census Tract 6711, Cook County, Illinois",1044,17,031,671100,2018
"Census Tract 6712, Cook County, Illinois",939,17,031,671200,2018
"Census Tract 6713, Cook County, Illinois",1905,17,031,671300,2018
"Census Tract 6714, Cook County, Illinois",1394,17,031,671400,2018
"Census Tract 6715, Cook County, Illinois",2343,17,031,671500,2018
"Census Tract 6716, Cook County, Illinois",2016,17,031,671600,2018
"Census Tract 6718, Cook County, Illinois",1256,17,031,671800,2018
"Census Tract 6719, Cook County, Illinois",1162,17,031,671900,2018
"Census Tract 6720, Cook County, Illinois",4064,17,031,672000,2018
"Census Tract 8349, Cook County, Illinois",1615,17,031,834900,2018
"Census Tract 6701, Cook County, Illinois",1001,17,031,670100,2019
"Census Tract 6702, Cook County, Illinois",930,17,031,670200,2019
"Census Tract 6703, Cook County, Illinois",1087,17,031,670300,2019
"Census Tract 6704, Cook County, Illinois",1689,17,031,670400,2019
"Census Tract 6705, Cook County, Illinois",922,17,031,670500,2019
"Census Tract 6706, Cook County, Illinois",975,17,031,670600,2019
"Census Tract 6707, Cook County, Illinois",1113,17,031,670700,2019
"Census Tract 6708, Cook County, Illinois",1015,17,031,670800,2019
"Census Tract 6709, Cook County, Illinois",1290,17,031,670900,2019
"Census Tract 6711, Cook County, Illinois",754,17,031,671100,2019
"Census Tract 6712, Cook County, Illinois",1019,17,031,671200,2019
"Census Tract 6713, Cook County, Illinois",2012,17,031,671300,2019
"Census Tract 6714, Cook County, Illinois",1147,17,031,671400,2019
"Census Tract 6715, Cook County, Illinois",2281,17,031,671500,2019
"Census Tract 6716, Cook County, Illinois",1643,17,031,671600,2019
"Census Tract 6718, Cook County, Illinois",1367,17,031,671800,2019
"Census Tract 6719, Cook County, Illinois",1125,17,031,671900,2019
"Census Tract 6720, Cook County, Illinois",3533,17,031,672000,2019
"Census Tract 8349, Cook County, Illinois",1443,17,031,834900,2019
"Census Tract 6701, Cook County, Illinois",978,17,031,670100,2020
"Census Tract 6702, Cook County, Illinois",970,17,031,670200,2020
"Census Tract 6703, Cook County, Illinois",1209,17,031,670300,2020
"Census Tract 6704, Cook County, Illinois",1693,17,031,670400,2020
"Census Tract 6705, Cook County, Illinois",944,17,031,670500,2020
"Census Tract 6706, Cook County, Illinois",972,17,031,670600,2020
"Census Tract 6707, Cook County, Illinois",1130,17,031,670700,2020
"Census Tract 6708, Cook County, Illinois",1012,17,031,670800,2020
"Census Tract 6709, Cook County, Illinois",1337,17,031,670900,2020
"Census Tract 6711, Cook County, Illinois",604,17,031,671100,2020
"Census Tract 6712, Cook County, Illinois",1031,17,031,671200,2020
"Census Tract 6713, Cook County, Illinois",1745,17,031,671300,2020
"Census Tract 6714, Cook County, Illinois",1177,17,031,671400,2020
"Census Tract 6715, Cook County, Illinois",2360,17,031,671500,2020
"Census Tract 6716, Cook County, Illinois",1693,17,031,671600,2020
"Census Tract 6718, Cook County, Illinois",1235,17,031,671800,2020
"Census Tract 6719, Cook County, Illinois",1136,17,031,671900,2020
"Census Tract 6720, Cook County, Illinois",3584,17,031,672000,2020
